LotID,Manufacturer,Type,Name,Production Date,Expiration Date
809O26D,MODERNA,mRNA,mRNA-1273,2021-01-25,2021-06-14
154O97S,MODERNA,mRNA,mRNA-1273,2021-01-11,2021-06-05
IG4590,PFIZER,mRNA,COMIRNATY,2021-01-30,2021-06-18
9109210,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-09-02,2022-02-12
OMU5573,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-08-27,2022-01-27
TK7621,PFIZER,mRNA,COMIRNATY,2021-06-21,2021-11-08
6836906,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-11-13,2021-05-07
1757489,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-09-08,2022-02-05
110X79Z,MODERNA,mRNA,mRNA-1273,2020-11-20,2021-04-10
562P72M,MODERNA,mRNA,mRNA-1273,2021-06-08,2021-10-21
FNV4091,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-07-30,2022-01-16
9871695,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-09-20,2022-03-17
EFI1574,ASTRAZENECA,Viral vector,VAXZEVRIA,2020-12-02,2021-05-01
XU7678,PFIZER,mRNA,COMIRNATY,2021-05-10,2021-10-13
5681853,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-09-03,2022-01-28
GP3350,PFIZER,mRNA,COMIRNATY,2020-12-20,2021-05-26
5990448,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-09-11,2022-02-04
1171948,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-02,2021-12-08
DK4551,PFIZER,mRNA,COMIRNATY,2020-12-02,2021-05-31
8660090,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-02-10,2021-07-30
861L66L,MODERNA,mRNA,mRNA-1273,2021-01-14,2021-06-03
HTU8872,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-04-28,2021-10-01
7381913,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-03-25,2021-09-05
4397435,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-06,2021-11-25
QK4530,PFIZER,mRNA,COMIRNATY,2021-05-14,2021-10-02
620X67S,MODERNA,mRNA,mRNA-1273,2021-07-23,2022-01-10
RJ8156,PFIZER,mRNA,COMIRNATY,2020-11-05,2021-03-20
UF7058,PFIZER,mRNA,COMIRNATY,2021-06-06,2021-11-25
HO7729,PFIZER,mRNA,COMIRNATY,2021-03-30,2021-09-01
CT7914,PFIZER,mRNA,COMIRNATY,2021-06-29,2021-12-20
471V43U,MODERNA,mRNA,mRNA-1273,2021-04-17,2021-09-30
OO3631,PFIZER,mRNA,COMIRNATY,2021-05-12,2021-10-30
TJE2931,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-09-20,2022-03-18
4841184,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-01-28,2021-07-17
144P60Y,MODERNA,mRNA,mRNA-1273,2020-11-20,2021-05-07
JWU2213,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-04-01,2021-09-09
ZYV4098,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-03-18,2021-08-13
8034738,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-01-20,2021-06-23
8724333,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-05-29,2021-10-12
354U89M,MODERNA,mRNA,mRNA-1273,2021-05-09,2021-10-03
JFQ9736,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-06-11,2021-12-03
3955884,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-06-04,2021-11-01
157B35J,MODERNA,mRNA,mRNA-1273,2021-04-08,2021-09-21
AA2223,PFIZER,mRNA,COMIRNATY,2020-11-03,2021-03-24
915A31P,MODERNA,mRNA,mRNA-1273,2021-07-07,2022-01-02
7952910,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-05-29,2021-10-19
567O33G,MODERNA,mRNA,mRNA-1273,2020-11-27,2021-04-18
ZV7597,PFIZER,mRNA,COMIRNATY,2021-01-08,2021-06-28
ITH8563,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-04-05,2021-09-07
2180517,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-11-16,2021-04-26
3680492,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-08-03,2022-01-09
HTL8646,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-08-21,2022-01-14
777J31X,MODERNA,mRNA,mRNA-1273,2021-07-16,2021-12-12
FI9186,PFIZER,mRNA,COMIRNATY,2020-11-29,2021-05-02
TR3855,PFIZER,mRNA,COMIRNATY,2021-05-19,2021-11-01
EYM5127,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-02-24,2021-07-21
9035619,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-05-07,2021-10-27
QP2561,PFIZER,mRNA,COMIRNATY,2021-01-08,2021-06-17
8069819,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-05,2021-12-09
3161852,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-04-08,2021-09-10
243L77G,MODERNA,mRNA,mRNA-1273,2021-03-23,2021-08-05
9024898,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-02-23,2021-07-14
YIK5129,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-09-12,2022-01-25
6243349,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-01-26,2021-06-27
9911237,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-11-22,2021-04-20
352Y63W,MODERNA,mRNA,mRNA-1273,2021-02-18,2021-07-30
753S40S,MODERNA,mRNA,mRNA-1273,2020-11-11,2021-05-01
3719402,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-12-03,2021-05-13
6872984,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-01-15,2021-06-24
FKX4903,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-02-13,2021-07-11
CVF5956,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-08-10,2022-01-08
UX1836,PFIZER,mRNA,COMIRNATY,2021-05-16,2021-10-25
396Y73H,MODERNA,mRNA,mRNA-1273,2021-04-14,2021-10-01
1057788,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-18,2021-12-07
YS4280,PFIZER,mRNA,COMIRNATY,2020-12-17,2021-05-09
TYA7232,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-03-13,2021-08-03
RS4538,PFIZER,mRNA,COMIRNATY,2021-07-20,2021-12-25
VX8590,PFIZER,mRNA,COMIRNATY,2021-01-25,2021-07-18
PIA7693,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-08-18,2022-02-06
384W30V,MODERNA,mRNA,mRNA-1273,2021-03-10,2021-08-17
WK5620,PFIZER,mRNA,COMIRNATY,2020-11-12,2021-04-01
SK3954,PFIZER,mRNA,COMIRNATY,2021-01-04,2021-06-03
QH2967,PFIZER,mRNA,COMIRNATY,2021-09-22,2022-03-14
887A96I,MODERNA,mRNA,mRNA-1273,2021-05-28,2021-11-24
7556132,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-03-20,2021-08-18
OJX3335,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-07-07,2021-11-22
GY8963,PFIZER,mRNA,COMIRNATY,2021-04-28,2021-09-28
777I62B,MODERNA,mRNA,mRNA-1273,2021-06-09,2021-10-22
8041058,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-12-04,2021-05-10
VZG5910,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-06-14,2021-11-13
MW5706,PFIZER,mRNA,COMIRNATY,2021-02-27,2021-07-21
5365971,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-12-11,2021-05-03
774R86G,MODERNA,mRNA,mRNA-1273,2021-05-12,2021-10-02
731T23W,MODERNA,mRNA,mRNA-1273,2021-07-06,2021-11-24
257A33C,MODERNA,mRNA,mRNA-1273,2021-01-10,2021-06-23
FK9321,PFIZER,mRNA,COMIRNATY,2021-08-12,2022-01-09
4104424,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-08-26,2022-01-28
2062885,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-11-04,2021-04-04
CC5659,PFIZER,mRNA,COMIRNATY,2021-05-25,2021-11-12
1788626,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-02-18,2021-07-11
ET8339,PFIZER,mRNA,COMIRNATY,2021-09-22,2022-02-16
GGZ7318,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-02-19,2021-07-30
4945620,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-12-11,2021-04-27
9372187,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-09-03,2022-01-30
5545815,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-12-19,2021-05-30
5178284,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-12-23,2021-05-10
VDH6720,ASTRAZENECA,Viral vector,VAXZEVRIA,2020-11-04,2021-04-28
RZB3374,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-07-14,2021-11-26
WL4773,PFIZER,mRNA,COMIRNATY,2021-06-11,2021-10-26
LS3013,PFIZER,mRNA,COMIRNATY,2020-12-13,2021-04-29
DT8783,PFIZER,mRNA,COMIRNATY,2021-08-17,2022-01-04
1996999,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-11-11,2021-05-04
6998265,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-11-29,2021-04-14
GY8982,PFIZER,mRNA,COMIRNATY,2021-03-26,2021-09-18
FR2037,PFIZER,mRNA,COMIRNATY,2021-04-14,2021-09-28
PL2394,PFIZER,mRNA,COMIRNATY,2020-12-31,2021-05-19
4194579,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-08-14,2022-01-28
217P64Z,MODERNA,mRNA,mRNA-1273,2021-08-18,2022-02-03
KYT9901,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-05-01,2021-09-29
ZA2303,PFIZER,mRNA,COMIRNATY,2021-02-08,2021-07-19
NKN9825,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-03-28,2021-09-15
1279948,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-02,2021-12-04
EK5115,PFIZER,mRNA,COMIRNATY,2021-04-27,2021-09-20
ZVJ2521,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-04-13,2021-09-11
129M50Y,MODERNA,mRNA,mRNA-1273,2021-04-17,2021-09-02
ZR2447,PFIZER,mRNA,COMIRNATY,2021-09-28,2022-02-15
597E11Z,MODERNA,mRNA,mRNA-1273,2021-09-25,2022-02-23
361N90Z,MODERNA,mRNA,mRNA-1273,2020-12-16,2021-06-07
816L98U,MODERNA,mRNA,mRNA-1273,2021-07-07,2021-12-02
SP6526,PFIZER,mRNA,COMIRNATY,2021-06-11,2021-11-02
269M95N,MODERNA,mRNA,mRNA-1273,2021-04-10,2021-09-02
745S95W,MODERNA,mRNA,mRNA-1273,2021-04-20,2021-10-17
EN6837,PFIZER,mRNA,COMIRNATY,2021-01-16,2021-06-14
882S36L,MODERNA,mRNA,mRNA-1273,2020-12-13,2021-06-05
1324074,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-02-25,2021-07-17
WT4103,PFIZER,mRNA,COMIRNATY,2021-01-11,2021-05-31
3989555,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-11-25,2021-04-11
1414241,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-04-10,2021-09-28
XJT2124,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-07-26,2021-12-27
NAH4886,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-04-21,2021-10-07
ZA9787,PFIZER,mRNA,COMIRNATY,2021-02-25,2021-07-19
AFI3299,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-01-11,2021-07-10
ZX9333,PFIZER,mRNA,COMIRNATY,2020-12-27,2021-06-19
8159758,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-04-21,2021-09-14
848F47W,MODERNA,mRNA,mRNA-1273,2021-01-17,2021-06-22
NQ1647,PFIZER,mRNA,COMIRNATY,2021-05-31,2021-11-20
MI4773,PFIZER,mRNA,COMIRNATY,2021-07-06,2021-12-28
EBS1555,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-03-30,2021-09-02
NQH1845,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-07-30,2022-01-20
BL3770,PFIZER,mRNA,COMIRNATY,2021-09-07,2022-02-28
690M96Z,MODERNA,mRNA,mRNA-1273,2020-12-18,2021-06-02
8563315,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-09-17,2022-02-19
CE9896,PFIZER,mRNA,COMIRNATY,2021-09-23,2022-02-10
4133470,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-01-24,2021-07-02
HK9194,PFIZER,mRNA,COMIRNATY,2021-06-15,2021-11-10
9685002,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-03-11,2021-09-03
JR5445,PFIZER,mRNA,COMIRNATY,2021-03-06,2021-07-25
912Z99K,MODERNA,mRNA,mRNA-1273,2021-02-02,2021-07-31
CKN7852,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-07-16,2022-01-12
JAX5002,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-08-12,2022-01-10
885O14T,MODERNA,mRNA,mRNA-1273,2021-07-08,2021-12-06
LBD9451,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-07-23,2021-12-08
623B12O,MODERNA,mRNA,mRNA-1273,2021-04-07,2021-08-29
RIS2322,ASTRAZENECA,Viral vector,VAXZEVRIA,2020-11-10,2021-04-16
555Z83E,MODERNA,mRNA,mRNA-1273,2021-05-16,2021-10-24
GLZ7267,ASTRAZENECA,Viral vector,VAXZEVRIA,2020-12-16,2021-06-14
SHI1667,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-02-07,2021-07-23
350J22K,MODERNA,mRNA,mRNA-1273,2020-11-12,2021-04-27
PA7868,PFIZER,mRNA,COMIRNATY,2020-11-14,2021-04-12
FI8966,PFIZER,mRNA,COMIRNATY,2021-09-07,2022-02-17
7047382,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-05-18,2021-10-14
1035451,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-09-20,2022-02-08
PUP4656,ASTRAZENECA,Viral vector,VAXZEVRIA,2020-12-21,2021-06-09
296H74S,MODERNA,mRNA,mRNA-1273,2021-03-08,2021-07-22
JH4152,PFIZER,mRNA,COMIRNATY,2021-02-01,2021-07-24
UCM5851,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-03-05,2021-07-20
835N35O,MODERNA,mRNA,mRNA-1273,2021-02-20,2021-07-12
374D43J,MODERNA,mRNA,mRNA-1273,2020-11-25,2021-04-27
7858353,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-06-21,2021-11-20
OT7652,PFIZER,mRNA,COMIRNATY,2021-04-01,2021-09-19
DK1242,PFIZER,mRNA,COMIRNATY,2021-03-01,2021-08-28
481C21Y,MODERNA,mRNA,mRNA-1273,2021-05-06,2021-09-22
WKZ1455,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-02-15,2021-08-04
958R46E,MODERNA,mRNA,mRNA-1273,2021-09-18,2022-02-17
AWY6488,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-05-30,2021-11-01
1225051,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-09-03,2022-02-20
2504800,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-03-13,2021-07-31
2049248,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-04-01,2021-09-12
MO8905,PFIZER,mRNA,COMIRNATY,2021-09-04,2022-03-02
IXP2476,ASTRAZENECA,Viral vector,VAXZEVRIA,2020-11-08,2021-04-30
KP3642,PFIZER,mRNA,COMIRNATY,2021-01-20,2021-06-13
407Q93T,MODERNA,mRNA,mRNA-1273,2021-03-31,2021-09-14
312I95L,MODERNA,mRNA,mRNA-1273,2020-12-28,2021-05-26
8509198,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-02-26,2021-08-01
XN5299,PFIZER,mRNA,COMIRNATY,2021-08-05,2022-01-10
940M10X,MODERNA,mRNA,mRNA-1273,2021-04-10,2021-09-02
439K79Q,MODERNA,mRNA,mRNA-1273,2021-06-18,2021-11-28
9333860,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-04-03,2021-09-06
1104443,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-01-25,2021-06-27
KCA3167,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-09-17,2022-02-12
DUE9248,ASTRAZENECA,Viral vector,VAXZEVRIA,2020-11-14,2021-04-16
MNF2323,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-04-08,2021-09-17
398G32I,MODERNA,mRNA,mRNA-1273,2020-12-15,2021-05-26
MMO8354,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-05-28,2021-10-31
JU9018,PFIZER,mRNA,COMIRNATY,2021-04-30,2021-10-21
IAL6405,ASTRAZENECA,Viral vector,VAXZEVRIA,2020-11-25,2021-05-09
4422714,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-14,2021-12-29
TW4100,PFIZER,mRNA,COMIRNATY,2021-01-03,2021-06-19
5865649,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-02-15,2021-08-03
111R48R,MODERNA,mRNA,mRNA-1273,2021-02-20,2021-07-14
LFU7566,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-06-11,2021-11-14
PAE6116,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-07-13,2021-12-09
ILF9850,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-02-23,2021-07-23
FHR1597,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-05-07,2021-09-29
473S58D,MODERNA,mRNA,mRNA-1273,2021-01-20,2021-06-29
CRA4584,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-04-21,2021-09-17
472B65G,MODERNA,mRNA,mRNA-1273,2021-02-11,2021-07-30
960L26T,MODERNA,mRNA,mRNA-1273,2021-08-22,2022-01-12
MX2656,PFIZER,mRNA,COMIRNATY,2021-07-01,2021-11-25
RSQ4131,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-05-02,2021-09-25
249F56R,MODERNA,mRNA,mRNA-1273,2021-08-09,2022-01-05
QQX5920,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-08-15,2022-02-07
RO2829,PFIZER,mRNA,COMIRNATY,2021-05-01,2021-10-18
JM8575,PFIZER,mRNA,COMIRNATY,2021-09-05,2022-01-23
AKB7029,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-09-03,2022-02-06
9794206,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-12-01,2021-05-19
ZA1839,PFIZER,mRNA,COMIRNATY,2021-04-29,2021-10-15
6274683,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-04-29,2021-10-22
970W50O,MODERNA,mRNA,mRNA-1273,2021-08-10,2021-12-27
9153173,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-19,2021-12-24
QY4777,PFIZER,mRNA,COMIRNATY,2021-01-23,2021-06-22
800D43G,MODERNA,mRNA,mRNA-1273,2021-08-28,2022-02-05
WRJ2611,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-08-31,2022-02-02
3731687,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-04-21,2021-10-16
7502734,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-08-04,2022-01-11
US8623,PFIZER,mRNA,COMIRNATY,2021-02-07,2021-07-16
986C63F,MODERNA,mRNA,mRNA-1273,2021-07-20,2021-12-10
3714413,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-03-16,2021-08-10
1123036,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-07-14,2021-11-26
369P35I,MODERNA,mRNA,mRNA-1273,2020-11-04,2021-04-08
393X12U,MODERNA,mRNA,mRNA-1273,2021-07-07,2021-12-05
PE5542,PFIZER,mRNA,COMIRNATY,2021-09-07,2022-02-07
XVO6760,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-07-09,2021-11-22
9694833,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2020-12-04,2021-04-18
YCV7978,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-08-30,2022-01-19
8586119,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-03-28,2021-08-15
SG7391,PFIZER,mRNA,COMIRNATY,2021-03-21,2021-08-17
866C65M,MODERNA,mRNA,mRNA-1273,2021-05-17,2021-10-10
651Z65R,MODERNA,mRNA,mRNA-1273,2021-05-13,2021-10-01
731B98W,MODERNA,mRNA,mRNA-1273,2021-01-05,2021-06-13
JSK1709,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-02-25,2021-08-17
ZYY5125,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-09-26,2022-02-28
YZ4512,PFIZER,mRNA,COMIRNATY,2021-02-12,2021-06-28
1971856,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-01-21,2021-07-10
153W83T,MODERNA,mRNA,mRNA-1273,2021-08-19,2022-01-26
319H42F,MODERNA,mRNA,mRNA-1273,2021-02-21,2021-07-30
EI7582,PFIZER,mRNA,COMIRNATY,2021-07-09,2021-12-14
718J65A,MODERNA,mRNA,mRNA-1273,2021-09-06,2022-02-13
DOD6196,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-09-01,2022-02-06
2204818,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-02-07,2021-07-08
716Q45H,MODERNA,mRNA,mRNA-1273,2020-12-21,2021-05-08
OQ7999,PFIZER,mRNA,COMIRNATY,2021-03-02,2021-08-15
AV7666,PFIZER,mRNA,COMIRNATY,2021-04-20,2021-10-17
310Y87D,MODERNA,mRNA,mRNA-1273,2021-05-13,2021-09-27
LBR9377,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-02-05,2021-06-21
MI3810,PFIZER,mRNA,COMIRNATY,2021-04-30,2021-10-14
613J99N,MODERNA,mRNA,mRNA-1273,2021-08-21,2022-01-21
4759938,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-08-30,2022-02-24
997O99M,MODERNA,mRNA,mRNA-1273,2021-01-22,2021-06-09
306K42U,MODERNA,mRNA,mRNA-1273,2021-03-24,2021-08-26
565I54O,MODERNA,mRNA,mRNA-1273,2021-03-04,2021-08-01
NV9665,PFIZER,mRNA,COMIRNATY,2021-03-12,2021-09-01
ZK7123,PFIZER,mRNA,COMIRNATY,2021-03-08,2021-08-13
AYW2969,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-06-12,2021-11-11
588Z94O,MODERNA,mRNA,mRNA-1273,2021-07-15,2021-12-16
7722875,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-08-18,2022-01-14
RX3443,PFIZER,mRNA,COMIRNATY,2020-12-20,2021-05-24
TXE4625,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-06-06,2021-10-24
573G87U,MODERNA,mRNA,mRNA-1273,2020-12-12,2021-05-15
VLO5763,ASTRAZENECA,Viral vector,VAXZEVRIA,2020-11-27,2021-05-18
268G65F,MODERNA,mRNA,mRNA-1273,2020-12-31,2021-06-03
156G48I,MODERNA,mRNA,mRNA-1273,2021-04-04,2021-09-01
534M88Q,MODERNA,mRNA,mRNA-1273,2020-11-29,2021-04-15
804B10U,MODERNA,mRNA,mRNA-1273,2021-01-22,2021-06-07
KMI3850,ASTRAZENECA,Viral vector,VAXZEVRIA,2021-07-05,2021-11-17
KE4487,PFIZER,mRNA,COMIRNATY,2021-08-18,2022-01-31
164U91I,MODERNA,mRNA,mRNA-1273,2020-11-14,2021-04-21
7724886,JOHNSON&JOHNSON,Viral Vector,JNJ-78436735,2021-06-26,2021-12-06
