Name,Type,Region,Address,City,Postal Code,State,Longitude,Latitude,ID
Fond. Piccola Opera Caritas,RIA,Abruzzo,,,,Italy,,,HYM140
Fond.P.Alberto Mileno Onlus,RIA,Abruzzo,,,,Italy,,,UXO769
Hub Maria Ss Splendore Giulianova,STS,Abruzzo,,,,Italy,,,MNA634
Hub Ospedale Mazzini Teramo,STS,Abruzzo,,,,Italy,,,YLB960
Hub P.O. Val Vibrata  Sant'Omero,STS,Abruzzo,,,,Italy,,,JDC792
Hub Parco Della Scienza,STS,Abruzzo,,,,Italy,,,CRN852
Hub San Liberatore Atri,STS,Abruzzo,,,,Italy,,,IUS704
Il Piccolo Principe,RIA,Abruzzo,,,,Italy,,,ZKI333
Ist. Riab. San Rocco - Atessa,RIA,Abruzzo,,,,Italy,,,IQD768
Ist. Riab. San Rocco - Casoli,RIA,Abruzzo,,,,Italy,,,VDO412
Istit. Villa Giulia,RIA,Abruzzo,,,,Italy,,,WRD632
Nova Salus Srl,RIA,Abruzzo,,,,Italy,,,FAM895
P.O. Atessa,STS,Abruzzo,,,,Italy,,,PBW661
P.O. Clinicizz. 'Ss. Annunziata' Chieti,STS,Abruzzo,,,,Italy,,,TTK285
P.O. Lanciano,STS,Abruzzo,,,,Italy,,,AZR993
P.O. Ortona,STS,Abruzzo,,,,Italy,,,HFM580
P.O. Vasto,STS,Abruzzo,,,,Italy,,,XUX128
P.T.A. Casoli,STS,Abruzzo,,,,Italy,,,BPC863
P.T.A. Gissi,STS,Abruzzo,,,,Italy,,,YXB504
P.T.A. Guardiagrele,STS,Abruzzo,,,,Italy,,,UBY241
Paolo Vi  Madonna Del Monte,RIA,Abruzzo,,,,Italy,,,EKS180
Paolo Vi Centro,RIA,Abruzzo,,,,Italy,,,SCN226
Paolo Vi Centro Adriatico,RIA,Abruzzo,,,,Italy,,,PJU399
Paolo Vi Centro Tabor,RIA,Abruzzo,,,,Italy,,,GUP408
Paolo Vi Civitaquana,RIA,Abruzzo,,,,Italy,,,TXT639
Paolo Vi San Clemente,RIA,Abruzzo,,,,Italy,,,PEE609
Paolo Vi San Massimo,RIA,Abruzzo,,,,Italy,,,JCB127
Piccola Opera Charitas,RIA,Abruzzo,,,,Italy,,,LYU764
Poliambulatorio Pe,STS,Abruzzo,,,,Italy,,,FEH214
Riab. Anffas-Onulus Teramo,RIA,Abruzzo,,,,Italy,,,HUE146
Riabilitazione Wellness&C.,RIA,Abruzzo,,,,Italy,,,NKH905
San Raffaele Spa,RIA,Abruzzo,,,,Italy,,,HGY323
San Ste Far Montesilvano,RIA,Abruzzo,,,,Italy,,,PUV281
San Ste Far Pescara,RIA,Abruzzo,,,,Italy,,,UWX446
San Stef. Ar. Abruzzo-Chs,RIA,Abruzzo,,,,Italy,,,PCF125
San Stef. Ar. Abruzzo-Cht,RIA,Abruzzo,,,,Italy,,,SQX429
San Stef. Ar. Abruzzo-Csb,RIA,Abruzzo,,,,Italy,,,HEZ611
San Stef. Ar. Abruzzo-Lnc,RIA,Abruzzo,,,,Italy,,,NLP517
San Stef. Ar. Abruzzo-Ssl,RIA,Abruzzo,,,,Italy,,,LAP197
San Stef. Ar. Abruzzo-Vsm,RIA,Abruzzo,,,,Italy,,,ZBT392
San Stef. Ar. Abruzzo-Vst,RIA,Abruzzo,,,,Italy,,,VLG939
Serv Riab Avezzano,RIA,Abruzzo,,,,Italy,,,JEZ988
Serv Riab Sulmona,RIA,Abruzzo,,,,Italy,,,KVB717
Aias,RIA,Basilicata,,,,Italy,,,EZX647
Aias-Sez.Melfi - Sede Matera,RIA,Basilicata,,,,Italy,,,AJN648
C.T.R. Srl,RIA,Basilicata,,,,Italy,,,RGF958
Centro   R. H. A. M.,RIA,Basilicata,,,,Italy,,,LDP472
Centro A.I.A.S. Di Lauria,RIA,Basilicata,,,,Italy,,,VQF711
Centro Aias F. Bagnale,RIA,Basilicata,,,,Italy,,,RFL341
Centro Di Riabilitazione Aias,RIA,Basilicata,,,,Italy,,,XIB282
Centro Policenter S.R.L.,RIA,Basilicata,,,,Italy,,,EGH974
Centro San Paolo Servizi,RIA,Basilicata,,,,Italy,,,WQP288
Centro Tavolaro S.R.L,RIA,Basilicata,,,,Italy,,,EHK790
Centro Vaccinale  -Complesso Sportivo Rocco Mazzola,STS,Basilicata,,,,Italy,,,NDG415
Centro Vaccinale Confapi Pz,STS,Basilicata,,,,Italy,,,QKC584
Centro Vaccinale Covid Enel,STS,Basilicata,,,,Italy,,,JRK333
Centro Vaccinale Covid-19 Lavello,STS,Basilicata,,,,Italy,,,QTH226
Centro Vaccinale Covid-19 Melfi,STS,Basilicata,,,,Italy,,,AQO130
Centro Vaccinale Covid-19 Mmg Asp,STS,Basilicata,,,,Italy,,,DIS699
Centro Vaccinale Domiciliare Asp,STS,Basilicata,,,,Italy,,,QKH438
Centro Vaccinale Farmacie Asp,STS,Basilicata,,,,Italy,,,NPG878
Centro Vaccinale Ferrero,STS,Basilicata,,,,Italy,,,SSB144
Centro Vaccinale Total,STS,Basilicata,,,,Italy,,,YHO142
Fisiokinesiterapia Melandro,RIA,Basilicata,,,,Italy,,,GOF795
Fondazione Don Gnocchi Onlus,RIA,Basilicata,,,,Italy,,,VBI587
Genovese Camillo S.R.L,RIA,Basilicata,,,,Italy,,,JJE515
Istituto Padri Trinitari,RIA,Basilicata,,,,Italy,,,ZKU525
Polo Riab Fdg Asm,RIA,Basilicata,,,,Italy,,,NLW200
Punto Vaccinale M.M.G. Asm,STS,Basilicata,,,,Italy,,,NGY572
Punto Vaccinale Matera,STS,Basilicata,,,,Italy,,,LDG804
Punto Vaccinale Pisticci,STS,Basilicata,,,,Italy,,,UQY228
Punto Vaccinale Policoro,STS,Basilicata,,,,Italy,,,USO622
Punto Vaccinale Stigliano,STS,Basilicata,,,,Italy,,,KBR796
Punto Vaccinale Tricarico,STS,Basilicata,,,,Italy,,,BPQ632
Ressana S.R.L.,RIA,Basilicata,,,,Italy,,,IKA718
Universo Salute Srl Cssr Pz,RIA,Basilicata,,,,Italy,,,VCM273
Aias Vadue  Di Carolei,RIA,Calabria,,,,Italy,,,UBV271
Anmi Siss - Rossano,RIA,Calabria,,,,Italy,,,FEB345
Anmi Siss Srl - Cosenza,RIA,Calabria,,,,Italy,,,HPY160
Ass. Comunita' Progetto Sud,RIA,Calabria,,,,Italy,,,HXR787
Ass. Mutua Benevolentia,RIA,Calabria,,,,Italy,,,IPG104
C.I.F. Casa Serena S.G.Bosco,RIA,Calabria,,,,Italy,,,WWK951
Case Della Salute Mormanno,RIA,Calabria,,,,Italy,,,TZL892
Cenro Riab. Don Milani Lungro,RIA,Calabria,,,,Italy,,,MIH243
Centro Carlo Pizzi,RIA,Calabria,,,,Italy,,,CVU863
Centro Clinico San Vitaliano,RIA,Calabria,,,,Italy,,,IHB590
Centro Di Riab.Ne Nova Salus,RIA,Calabria,,,,Italy,,,VNF731
Centro Di Riabilitazione Amnic,RIA,Calabria,,,,Italy,,,HVX259
Centro Di Riabilitazione S. G.,RIA,Calabria,,,,Italy,,,AUX571
Centro Emmanuele,RIA,Calabria,,,,Italy,,,INA724
Centro Nadia Vadala',RIA,Calabria,,,,Italy,,,SUV993
Centro Riab Estensiv Aquasalus,RIA,Calabria,,,,Italy,,,XVB899
Centro Riabil. Anmic S. G.,RIA,Calabria,,,,Italy,,,IXX330
Centro Riabilitativo Lucrezia,RIA,Calabria,,,,Italy,,,YFH107
Centro Riabilitazione S.Chiara,RIA,Calabria,,,,Italy,,,GMW270
Centro Sophia,RIA,Calabria,,,,Italy,,,BRI545
Centro Tripepi Mariotti,RIA,Calabria,,,,Italy,,,XPD273
Clinica Service Center,RIA,Calabria,,,,Italy,,,GDH960
Coop. Soc.Le Skinner Srl Onlus,RIA,Calabria,,,,Italy,,,ZGY286
Costruire Il Domani Onlus,RIA,Calabria,,,,Italy,,,EDH547
Cre San Domenico,RIA,Calabria,,,,Italy,,,EMN601
Cre-San Vito Hospital,RIA,Calabria,,,,Italy,,,GXH985
Ctr Med. E Fkt Dott. P. Crupi,RIA,Calabria,,,,Italy,,,ANB584
Ente Morale F. Germano,RIA,Calabria,,,,Italy,,,UVR255
Fiosenter S.R.L.,RIA,Calabria,,,,Italy,,,XCF101
Fkt Bagnarese Srl,RIA,Calabria,,,,Italy,,,IZL759
Fond. Marino Per L'Autismo Onl,RIA,Calabria,,,,Italy,,,QFS889
"Fondazione ""Casa Della Carita'",RIA,Calabria,,,,Italy,,,RWM544
Fondazione Betania Onlus,RIA,Calabria,,,,Italy,,,DKZ489
Ist. Cura Medical & Psychology,RIA,Calabria,,,,Italy,,,MDW573
Ist. Psico-Ped. Villa Betania,RIA,Calabria,,,,Italy,,,HSR416
Istituto Di Riab.Villa S.Agata,RIA,Calabria,,,,Italy,,,CDJ923
Onlus - Cetraro,RIA,Calabria,,,,Italy,,,DKU159
Pres. Di Riab. Centro San Gius,RIA,Calabria,,,,Italy,,,WBW293
Residenza Ad Alto Trattamento,RIA,Calabria,,,,Italy,,,PFA817
Riabil. Madonna Della Catena,RIA,Calabria,,,,Italy,,,KPB949
Riabilia Di L. Barillaro Sas,RIA,Calabria,,,,Italy,,,FFK588
"Riabilit.Est. ""Biolife"" Srl",RIA,Calabria,,,,Italy,,,FFP215
Riabilitazione Castrovillari,RIA,Calabria,,,,Italy,,,DGM652
Salus Spa,RIA,Calabria,,,,Italy,,,JMA441
Santa Chiara Srl,RIA,Calabria,,,,Italy,,,NRU673
Sasa' Martino,RIA,Calabria,,,,Italy,,,BFF299
Starbene  Srl,RIA,Calabria,,,,Italy,,,YZC291
Studio Medico Pol. F.K.T. Alfa,RIA,Calabria,,,,Italy,,,DCU197
Terme Sibarite S.P.A.,RIA,Calabria,,,,Italy,,,QSJ478
Turano C.&.C. Srl,RIA,Calabria,,,,Italy,,,SVF477
Unita Operativa Recupero Neuro,RIA,Calabria,,,,Italy,,,LKX838
Villa Adelchi - Riace S.R.L.,RIA,Calabria,,,,Italy,,,FQH389
Villa San Giuseppe,RIA,Calabria,,,,Italy,,,GBA599
Villa San Pio Dipignano,RIA,Calabria,,,,Italy,,,JXM215
Villa Torano,RIA,Calabria,,,,Italy,,,LQK843
Aias  Calitri,RIA,Campania,,,,Italy,,,SUM494
Aias Afragola,RIA,Campania,,,,Italy,,,ZFF355
Aias Casoria,RIA,Campania,,,,Italy,,,FLC148
Aias Nusco,RIA,Campania,,,,Italy,,,RSR947
Aias Onlus C.R.M. Marechiaro,RIA,Campania,,,,Italy,,,IIY122
Aias Penisola Sorrentina,RIA,Campania,,,,Italy,,,DFQ404
Aias Peppino Scoppa,RIA,Campania,,,,Italy,,,ZLM399
Aias Sez.Di Nola - Cicciano,RIA,Campania,,,,Italy,,,CUK358
Aias Vico E.Arco Felice,RIA,Campania,,,,Italy,,,XOJ652
Anffas Onlus,RIA,Campania,,,,Italy,,,UOM787
Anffas Onlus Capri,RIA,Campania,,,,Italy,,,BJU686
Antares Centro Riabilitazione,RIA,Campania,,,,Italy,,,QKS286
Ass. La Nostra Famiglia,RIA,Campania,,,,Italy,,,RUR846
Associazione Meta Felix,RIA,Campania,,,,Italy,,,NOG272
Azienda Ospedaliera Dei Colli,RIA,Campania,,,,Italy,,,WRG992
C. Soc. Na. Anffas Cdr C. Ursi,RIA,Campania,,,,Italy,,,NFE823
C.D.Spettro Autistico,RIA,Campania,,,,Italy,,,LEM337
C.F.R. Istit. Di Riabilit. Srl,RIA,Campania,,,,Italy,,,VZF662
C.G.M. San Luca S.R.L.,RIA,Campania,,,,Italy,,,GBJ230
C.T.A. Srl,RIA,Campania,,,,Italy,,,AIH135
C.T.F. Centro  Terapia Fisica,RIA,Campania,,,,Italy,,,ZYG893
C.Tro La Primula  Srl,RIA,Campania,,,,Italy,,,WTV691
Casa Di Cura S M Del Pozzo Cem,RIA,Campania,,,,Italy,,,OFU318
Cedif Srl,RIA,Campania,,,,Italy,,,TMC503
Cefim S.N.C.,RIA,Campania,,,,Italy,,,FOF819
Centro  Fisiovesuviano  S.R.L.,RIA,Campania,,,,Italy,,,XPD843
Centro  Moscati Srl,RIA,Campania,,,,Italy,,,PRU156
Centro  Vaccinale - Agropoli-Ds70,STS,Campania,,,,Italy,,,ZIH323
Centro  Vaccinale - Pellezzano-Ds66,STS,Campania,,,,Italy,,,QWD327
Centro  Vaccinale Castelnuovo Cilento-Ds70,STS,Campania,,,,Italy,,,IBZ935
Centro A.I.R.R.I.,RIA,Campania,,,,Italy,,,MQP447
Centro A.T.H.E.N.A. S.N.C.,RIA,Campania,,,,Italy,,,KFJ241
Centro Agroaversano,RIA,Campania,,,,Italy,,,YIT306
Centro Anna Rita Buonincontro,RIA,Campania,,,,Italy,,,ESN950
Centro Campano,RIA,Campania,,,,Italy,,,PYX340
Centro Cron,RIA,Campania,,,,Italy,,,PPA449
Centro Di Ginn. Med. Santulli,RIA,Campania,,,,Italy,,,MBY715
Centro Di Radiologia Ginolfi,RIA,Campania,,,,Italy,,,CNH360
Centro Di Riabilitazione,RIA,Campania,,,,Italy,,,AWZ886
Centro Don Orione,RIA,Campania,,,,Italy,,,WJD615
Centro Fisiokinesit.Cilento,RIA,Campania,,,,Italy,,,QDX836
Centro Flegreo Srl,RIA,Campania,,,,Italy,,,QAX309
Centro Futura Srl,RIA,Campania,,,,Italy,,,ZDU620
Centro G.Torre,RIA,Campania,,,,Italy,,,MIK970
Centro Horizon Srl,RIA,Campania,,,,Italy,,,BCC355
Centro Juvenia Srl,RIA,Campania,,,,Italy,,,WRY154
Centro Juventus Vibonati S.R.L,RIA,Campania,,,,Italy,,,MHC596
Centro Lars,RIA,Campania,,,,Italy,,,OED212
Centro Manzoni Srl,RIA,Campania,,,,Italy,,,MSK883
Centro Med.Psicosomatica,RIA,Campania,,,,Italy,,,ZXO305
Centro Med.Riabil.S.Marco Srl,RIA,Campania,,,,Italy,,,KVC474
Centro Medico Riabilit. Pompei,RIA,Campania,,,,Italy,,,CHX585
Centro Minerva    Srl,RIA,Campania,,,,Italy,,,NBK573
Centro Panda Srl,RIA,Campania,,,,Italy,,,FKT187
Centro Plinio Srl,RIA,Campania,,,,Italy,,,UJC454
Centro Prif S.R.L.,RIA,Campania,,,,Italy,,,BIE272
Centro Pro-Juventute Minerva,RIA,Campania,,,,Italy,,,WIU527
Centro Relax S.P.A.,RIA,Campania,,,,Italy,,,MJP372
Centro Relax Spa R.L.Caporaso,RIA,Campania,,,,Italy,,,PSJ462
Centro Riab. E Rec. H. Abatese,RIA,Campania,,,,Italy,,,VKC216
Centro Riabilitazione Motoria,RIA,Campania,,,,Italy,,,FAF997
Centro Riabilitazione Procida,RIA,Campania,,,,Italy,,,YOP618
Centro Rodi Srl,RIA,Campania,,,,Italy,,,MCL246
Centro S. Ciro,RIA,Campania,,,,Italy,,,MYL916
Centro S. Paolo,RIA,Campania,,,,Italy,,,VLX439
Centro Salus S.R.L.,RIA,Campania,,,,Italy,,,TIR566
Centro San Vincenzo,RIA,Campania,,,,Italy,,,YTO370
Centro Serena Sas,RIA,Campania,,,,Italy,,,GVB627
Centro Studi Dell Scoliosi Srl,RIA,Campania,,,,Italy,,,JMX535
Centro Terap. Riab.De Nicola,RIA,Campania,,,,Italy,,,OQZ921
Centro Tivan Srl,RIA,Campania,,,,Italy,,,YZP773
Centro Vaccinale  Anticovid  Iiss S. Caterina Ds66,STS,Campania,,,,Italy,,,YIL857
Centro Vaccinale  Baronissi C/O Palairno-Ds67,STS,Campania,,,,Italy,,,ORU428
Centro Vaccinale  Di Siano-Ds67,STS,Campania,,,,Italy,,,OAV807
Centro Vaccinale - San Marzano Sul Sarno-Ds62,STS,Campania,,,,Italy,,,FAH121
Centro Vaccinale Acerra,STS,Campania,,,,Italy,,,FLD621
Centro Vaccinale Afragola,STS,Campania,,,,Italy,,,OPL469
Centro Vaccinale Agerola,STS,Campania,,,,Italy,,,ICO223
Centro Vaccinale Altavilla Irpina,STS,Campania,,,,Italy,,,CVE124
Centro Vaccinale -Angri-Ds61,STS,Campania,,,,Italy,,,WMB858
Centro Vaccinale Anti Covid Ds61,STS,Campania,,,,Italy,,,KFI476
Centro Vaccinale Anti Covid Ds63,STS,Campania,,,,Italy,,,EWN905
Centro Vaccinale Anti Covid Teatro Augusteo Ds66,STS,Campania,,,,Italy,,,KGS223
Centro Vaccinale Anti Covid-Pagani-Ds62,STS,Campania,,,,Italy,,,MTN646
Centro Vaccinale Anticovid-Sala Consilina-Ds72,STS,Campania,,,,Italy,,,OJT657
Centro Vaccinale Ariano Irpino,STS,Campania,,,,Italy,,,EKA345
Centro Vaccinale Avellino,STS,Campania,,,,Italy,,,WYN350
Centro Vaccinale Bacoli,STS,Campania,,,,Italy,,,ZSA924
Centro Vaccinale Bisaccia,STS,Campania,,,,Italy,,,FCK104
Centro Vaccinale Boscotrecase,STS,Campania,,,,Italy,,,SPS360
Centro Vaccinale C/O Centro Sociale-Ds66,STS,Campania,,,,Italy,,,ZYH649
Centro Vaccinale C/O Teatro De Lise-Ds62,STS,Campania,,,,Italy,,,ZGR937
Centro Vaccinale Cardito,STS,Campania,,,,Italy,,,ATQ858
Centro Vaccinale Casalnuovo,STS,Campania,,,,Italy,,,RQN425
Centro Vaccinale Casavatore,STS,Campania,,,,Italy,,,ZQY981
Centro Vaccinale Castellammare Di Stabia,STS,Campania,,,,Italy,,,JUF917
Centro Vaccinale -Cava Dei Tirreni-Ds63,STS,Campania,,,,Italy,,,ONC755
Centro Vaccinale Cercola,STS,Campania,,,,Italy,,,PWK221
Centro Vaccinale Cervinara,STS,Campania,,,,Italy,,,OSJ668
Centro Vaccinale Di  Fisciano-Ds67,STS,Campania,,,,Italy,,,GED647
Centro Vaccinale Di Sassano- Ds72,STS,Campania,,,,Italy,,,KTM154
Centro Vaccinale Ercolano,STS,Campania,,,,Italy,,,AFO205
Centro Vaccinale Fagianeria Real Bosco Di Capodimonte,STS,Campania,,,,Italy,,,KQI939
Centro Vaccinale Flumeri,STS,Campania,,,,Italy,,,QKO275
Centro Vaccinale Forio,STS,Campania,,,,Italy,,,OKI207
Centro Vaccinale Frattamaggiore,STS,Campania,,,,Italy,,,AQI553
Centro Vaccinale Frattaminore,STS,Campania,,,,Italy,,,WVE938
Centro Vaccinale Giugliano,STS,Campania,,,,Italy,,,NMN102
Centro Vaccinale Grottaminarda,STS,Campania,,,,Italy,,,ATR518
Centro Vaccinale Hangar Atitech,STS,Campania,,,,Italy,,,IMV683
Centro Vaccinale Hub Capodichino,STS,Campania,,,,Italy,,,MRM330
Centro Vaccinale Ischia,STS,Campania,,,,Italy,,,WXQ739
Centro Vaccinale Lioni,STS,Campania,,,,Italy,,,BGQ164
Centro Vaccinale M.S.Severino C/O Palestra Scuola Elem.-Ds67,STS,Campania,,,,Italy,,,JHB219
Centro Vaccinale Marigliano,STS,Campania,,,,Italy,,,PBX697
Centro Vaccinale Massa Lubrense,STS,Campania,,,,Italy,,,FUF614
Centro Vaccinale Mercogliano,STS,Campania,,,,Italy,,,OJF194
Centro Vaccinale Mirabella Eclanum,STS,Campania,,,,Italy,,,EVP377
Centro Vaccinale Montefalcione,STS,Campania,,,,Italy,,,ENF558
Centro Vaccinale Monteforte Irpino,STS,Campania,,,,Italy,,,IPF709
Centro Vaccinale Montella,STS,Campania,,,,Italy,,,THP262
Centro Vaccinale Montemarano,STS,Campania,,,,Italy,,,IAD151
Centro Vaccinale Montoro,STS,Campania,,,,Italy,,,HIY906
Centro Vaccinale Moschiano,STS,Campania,,,,Italy,,,UNR165
Centro Vaccinale Mugnano Del Cardinale,STS,Campania,,,,Italy,,,LQB839
Centro Vaccinale Mugnano Di Napoli,STS,Campania,,,,Italy,,,LNR734
Centro Vaccinale Museo Madre,STS,Campania,,,,Italy,,,CWK168
Centro Vaccinale Nola,STS,Campania,,,,Italy,,,ZEE174
Centro Vaccinale Ottaviano,STS,Campania,,,,Italy,,,VNL120
Centro Vaccinale Palma Campania,STS,Campania,,,,Italy,,,IZN472
Centro Vaccinale Piano Di Sorrento,STS,Campania,,,,Italy,,,YMB825
Centro Vaccinale Poggiomarino,STS,Campania,,,,Italy,,,TZA241
Centro Vaccinale Pomigliano D' Arco,STS,Campania,,,,Italy,,,CQS602
Centro Vaccinale Pompei,STS,Campania,,,,Italy,,,CVC139
Centro Vaccinale Portici,STS,Campania,,,,Italy,,,EYZ650
Centro Vaccinale Pozzuoli,STS,Campania,,,,Italy,,,NIW179
Centro Vaccinale Quarto,STS,Campania,,,,Italy,,,BFO113
Centro Vaccinale S.Giorgio A Cremano,STS,Campania,,,,Italy,,,JML424
Centro Vaccinale S.M. Di Castellabate-Ds70,STS,Campania,,,,Italy,,,GHW344
Centro Vaccinale S.Maria La Carita',STS,Campania,,,,Italy,,,STV303
Centro Vaccinale S.Paolo Bel Sito,STS,Campania,,,,Italy,,,CVT546
Centro Vaccinale San Valentino Torio- Ds62,STS,Campania,,,,Italy,,,GBO356
Centro Vaccinale Sant' Anastasia,STS,Campania,,,,Italy,,,DUZ358
Centro Vaccinale Sant'Angelo Dei Lombardi,STS,Campania,,,,Italy,,,TGJ226
Centro Vaccinale Sant'Antimo,STS,Campania,,,,Italy,,,JAI528
Centro Vaccinale Solofra,STS,Campania,,,,Italy,,,TUL510
Centro Vaccinale Somma Vesuviana,STS,Campania,,,,Italy,,,WBQ679
Centro Vaccinale Terzigno,STS,Campania,,,,Italy,,,YZV458
Centro Vaccinale Torre Del Greco,STS,Campania,,,,Italy,,,NHV972
Centro Vaccinale Vallata,STS,Campania,,,,Italy,,,WQV350
Centro Vaccinale Villaricca,STS,Campania,,,,Italy,,,VBU583
Centro Vaccinale_Vietri S/M - Ds63,STS,Campania,,,,Italy,,,KKN417
Centro Vaccinale-Matierno-Ds66,STS,Campania,,,,Italy,,,PVL839
Centro Villa Fraticelli,RIA,Campania,,,,Italy,,,DDJ274
Cinetic,RIA,Campania,,,,Italy,,,QFI385
Civitas Srl,RIA,Campania,,,,Italy,,,XQQ993
Cmr S.P.A.,RIA,Campania,,,,Italy,,,RBD185
Congr. Picc. Apostole Redenz.,RIA,Campania,,,,Italy,,,DXG716
Covid Vaccine Center,STS,Campania,,,,Italy,,,JUE187
Crs C.Riabilit Sanitaria Spa,RIA,Campania,,,,Italy,,,AIF696
Csa Tre Torri Di G.Salzano Sas,RIA,Campania,,,,Italy,,,AWJ269
Dhc-Day H Cavour,RIA,Campania,,,,Italy,,,ZPX307
Diarad Snc,RIA,Campania,,,,Italy,,,BGA418
Dimensione Azzurra Srl,RIA,Campania,,,,Italy,,,JPX292
Dinastar Srl,RIA,Campania,,,,Italy,,,YPE709
Femas Centro Riabilitazione,RIA,Campania,,,,Italy,,,FPC829
Fkt Fisiot  Riabilitazione Srl,RIA,Campania,,,,Italy,,,HUK888
Fond.F.Gambardella - Onlus-,RIA,Campania,,,,Italy,,,FIS771
Fond.F.Gambardella - Onlus -Sa,RIA,Campania,,,,Italy,,,OIC641
Fond.F.Gambardella-Onlus,RIA,Campania,,,,Italy,,,PKA775
Fondaz F.Gambardella Nocera In,RIA,Campania,,,,Italy,,,SMF141
Fondazione Don Carlo Gnocchi,RIA,Campania,,,,Italy,,,XBZ539
Fondazione Istituto Antoniano,RIA,Campania,,,,Italy,,,FTK559
Gabinetto Fisiot.Te.Ri,RIA,Campania,,,,Italy,,,KML334
Gerovit S.R.L.,RIA,Campania,,,,Italy,,,KGC297
