denominazione_struttura,tipologia,nome_area
Centro San Paolo Servizi,RIA,Basilicata
Centro Tavolaro S.R.L,RIA,Basilicata
Centro Vaccinale  -Complesso Sportivo Rocco Mazzola,STS,Basilicata
Centro Vaccinale Confapi Pz,STS,Basilicata
Centro Vaccinale Covid Enel,STS,Basilicata
Centro Vaccinale Covid-19 Lavello,STS,Basilicata
Centro Vaccinale Covid-19 Melfi,STS,Basilicata
Centro Vaccinale Covid-19 Mmg Asp,STS,Basilicata
Centro Vaccinale Domiciliare Asp,STS,Basilicata
Centro Vaccinale Farmacie Asp,STS,Basilicata
Centro Vaccinale Ferrero,STS,Basilicata
Centro Vaccinale Total,STS,Basilicata
Fisiokinesiterapia Melandro,RIA,Basilicata
Fondazione Don Gnocchi Onlus,RIA,Basilicata
Genovese Camillo S.R.L,RIA,Basilicata
Istituto Padri Trinitari,RIA,Basilicata
Polo Riab Fdg Asm,RIA,Basilicata
Punto Vaccinale M.M.G. Asm,STS,Basilicata
Punto Vaccinale Matera,STS,Basilicata
Punto Vaccinale Pisticci,STS,Basilicata
Punto Vaccinale Policoro,STS,Basilicata
Punto Vaccinale Stigliano,STS,Basilicata
Punto Vaccinale Tricarico,STS,Basilicata
Ressana S.R.L.,RIA,Basilicata
Universo Salute Srl Cssr Pz,RIA,Basilicata
Aias Vadue  Di Carolei,RIA,Calabria
Anmi Siss - Rossano,RIA,Calabria
Anmi Siss Srl - Cosenza,RIA,Calabria
Ass. Comunita' Progetto Sud,RIA,Calabria
Ass. Mutua Benevolentia,RIA,Calabria
C.I.F. Casa Serena S.G.Bosco,RIA,Calabria
Case Della Salute Mormanno,RIA,Calabria
Cenro Riab. Don Milani Lungro,RIA,Calabria
Centro Carlo Pizzi,RIA,Calabria
Centro Clinico San Vitaliano,RIA,Calabria
Centro Di Riab.Ne Nova Salus,RIA,Calabria
Centro Di Riabilitazione Amnic,RIA,Calabria
Centro Di Riabilitazione S. G.,RIA,Calabria
Centro Emmanuele,RIA,Calabria
Centro Nadia Vadala',RIA,Calabria
Centro Riab Estensiv Aquasalus,RIA,Calabria
Centro Riabil. Anmic S. G.,RIA,Calabria
Centro Riabilitativo Lucrezia,RIA,Calabria
Centro Riabilitazione S.Chiara,RIA,Calabria
Centro Sophia,RIA,Calabria
Centro Tripepi Mariotti,RIA,Calabria
Clinica Service Center,RIA,Calabria
Coop. Soc.Le Skinner Srl Onlus,RIA,Calabria
Costruire Il Domani Onlus,RIA,Calabria
Cre San Domenico,RIA,Calabria
Cre-San Vito Hospital,RIA,Calabria
Ctr Med. E Fkt Dott. P. Crupi,RIA,Calabria
Ente Morale F. Germano,RIA,Calabria
Fiosenter S.R.L.,RIA,Calabria
Fkt Bagnarese Srl,RIA,Calabria
Fond. Marino Per L'Autismo Onl,RIA,Calabria
"Fondazione ""Casa Della Carita'",RIA,Calabria
Fondazione Betania Onlus,RIA,Calabria
Ist. Cura Medical & Psychology,RIA,Calabria
Ist. Psico-Ped. Villa Betania,RIA,Calabria
Istituto Di Riab.Villa S.Agata,RIA,Calabria
Onlus - Cetraro,RIA,Calabria
Pres. Di Riab. Centro San Gius,RIA,Calabria
Residenza Ad Alto Trattamento,RIA,Calabria
Riabil. Madonna Della Catena,RIA,Calabria
Riabilia Di L. Barillaro Sas,RIA,Calabria
"Riabilit.Est. ""Biolife"" Srl",RIA,Calabria
Riabilitazione Castrovillari,RIA,Calabria
Salus Spa,RIA,Calabria
Santa Chiara Srl,RIA,Calabria
Sasa' Martino,RIA,Calabria
Starbene  Srl,RIA,Calabria
Studio Medico Pol. F.K.T. Alfa,RIA,Calabria
Terme Sibarite S.P.A.,RIA,Calabria
Turano C.&.C. Srl,RIA,Calabria
Unita Operativa Recupero Neuro,RIA,Calabria
Villa Adelchi - Riace S.R.L.,RIA,Calabria
Villa San Giuseppe,RIA,Calabria
Villa San Pio Dipignano,RIA,Calabria
Villa Torano,RIA,Calabria
Aias  Calitri,RIA,Campania
Aias Afragola,RIA,Campania
Aias Casoria,RIA,Campania
Aias Nusco,RIA,Campania
Aias Onlus C.R.M. Marechiaro,RIA,Campania
Aias Penisola Sorrentina,RIA,Campania
Aias Peppino Scoppa,RIA,Campania
Aias Sez.Di Nola - Cicciano,RIA,Campania
Aias Vico E.Arco Felice,RIA,Campania
Anffas Onlus,RIA,Campania
Anffas Onlus Capri,RIA,Campania
Antares Centro Riabilitazione,RIA,Campania
Ass. La Nostra Famiglia,RIA,Campania
Associazione Meta Felix,RIA,Campania
Azienda Ospedaliera Dei Colli,RIA,Campania
C. Soc. Na. Anffas Cdr C. Ursi,RIA,Campania
C.D.Spettro Autistico,RIA,Campania
C.F.R. Istit. Di Riabilit. Srl,RIA,Campania
C.G.M. San Luca S.R.L.,RIA,Campania
C.T.A. Srl,RIA,Campania
C.T.F. Centro  Terapia Fisica,RIA,Campania
C.Tro La Primula  Srl,RIA,Campania
Casa Di Cura S M Del Pozzo Cem,RIA,Campania
Cedif Srl,RIA,Campania
Cefim S.N.C.,RIA,Campania
Centro  Fisiovesuviano  S.R.L.,RIA,Campania
Centro  Moscati Srl,RIA,Campania
Centro  Vaccinale - Agropoli-Ds70,STS,Campania
Centro  Vaccinale - Pellezzano-Ds66,STS,Campania
Centro  Vaccinale Castelnuovo Cilento-Ds70,STS,Campania
Centro A.I.R.R.I.,RIA,Campania
Centro A.T.H.E.N.A. S.N.C.,RIA,Campania
Centro Agroaversano,RIA,Campania
Centro Anna Rita Buonincontro,RIA,Campania
Centro Campano,RIA,Campania
Centro Cron,RIA,Campania
Centro Di Ginn. Med. Santulli,RIA,Campania
Centro Di Radiologia Ginolfi,RIA,Campania
Centro Di Riabilitazione,RIA,Campania
Centro Don Orione,RIA,Campania
Centro Fisiokinesit.Cilento,RIA,Campania
Centro Flegreo Srl,RIA,Campania
Centro Futura Srl,RIA,Campania
Centro G.Torre,RIA,Campania
Centro Horizon Srl,RIA,Campania
Centro Juvenia Srl,RIA,Campania
Centro Juventus Vibonati S.R.L,RIA,Campania
Centro Lars,RIA,Campania
Centro Manzoni Srl,RIA,Campania
Centro Med.Psicosomatica,RIA,Campania
Centro Med.Riabil.S.Marco Srl,RIA,Campania
Centro Medico Riabilit. Pompei,RIA,Campania
Centro Minerva    Srl,RIA,Campania
Centro Panda Srl,RIA,Campania
Centro Plinio Srl,RIA,Campania
Centro Prif S.R.L.,RIA,Campania
Centro Pro-Juventute Minerva,RIA,Campania
Centro Relax S.P.A.,RIA,Campania
Centro Relax Spa R.L.Caporaso,RIA,Campania
Centro Riab. E Rec. H. Abatese,RIA,Campania
Centro Riabilitazione Motoria,RIA,Campania
Centro Riabilitazione Procida,RIA,Campania
Centro Rodi Srl,RIA,Campania
Centro S. Ciro,RIA,Campania
Centro S. Paolo,RIA,Campania
Centro Salus S.R.L.,RIA,Campania
Centro San Vincenzo,RIA,Campania
Centro Serena Sas,RIA,Campania
Centro Studi Dell Scoliosi Srl,RIA,Campania
Centro Terap. Riab.De Nicola,RIA,Campania
Centro Tivan Srl,RIA,Campania
Centro Vaccinale  Anticovid  Iiss S. Caterina Ds66,STS,Campania
Centro Vaccinale  Baronissi C/O Palairno-Ds67,STS,Campania
Centro Vaccinale  Di Siano-Ds67,STS,Campania
Centro Vaccinale - San Marzano Sul Sarno-Ds62,STS,Campania
Centro Vaccinale Acerra,STS,Campania
Centro Vaccinale Afragola,STS,Campania
Centro Vaccinale Agerola,STS,Campania
Centro Vaccinale Altavilla Irpina,STS,Campania
Centro Vaccinale -Angri-Ds61,STS,Campania
Centro Vaccinale Anti Covid Ds61,STS,Campania
Centro Vaccinale Anti Covid Ds63,STS,Campania
Centro Vaccinale Anti Covid Teatro Augusteo Ds66,STS,Campania
Centro Vaccinale Anti Covid-Pagani-Ds62,STS,Campania
Centro Vaccinale Anticovid-Sala Consilina-Ds72,STS,Campania
Centro Vaccinale Ariano Irpino,STS,Campania
Centro Vaccinale Avellino,STS,Campania
Centro Vaccinale Bacoli,STS,Campania
Centro Vaccinale Bisaccia,STS,Campania
Centro Vaccinale Boscotrecase,STS,Campania
Centro Vaccinale C/O Centro Sociale-Ds66,STS,Campania
Centro Vaccinale C/O Teatro De Lise-Ds62,STS,Campania
Centro Vaccinale Cardito,STS,Campania
Centro Vaccinale Casalnuovo,STS,Campania
Centro Vaccinale Casavatore,STS,Campania
Centro Vaccinale Castellammare Di Stabia,STS,Campania
Centro Vaccinale -Cava Dei Tirreni-Ds63,STS,Campania
Centro Vaccinale Cercola,STS,Campania
Centro Vaccinale Cervinara,STS,Campania
Centro Vaccinale Di  Fisciano-Ds67,STS,Campania
Centro Vaccinale Di Sassano- Ds72,STS,Campania
Centro Vaccinale Ercolano,STS,Campania
Centro Vaccinale Fagianeria Real Bosco Di Capodimonte,STS,Campania
Centro Vaccinale Flumeri,STS,Campania
Centro Vaccinale Forio,STS,Campania
Centro Vaccinale Frattamaggiore,STS,Campania
Centro Vaccinale Frattaminore,STS,Campania
Centro Vaccinale Giugliano,STS,Campania
Centro Vaccinale Grottaminarda,STS,Campania
Centro Vaccinale Hangar Atitech,STS,Campania
Centro Vaccinale Hub Capodichino,STS,Campania
Centro Vaccinale Ischia,STS,Campania
Centro Vaccinale Lioni,STS,Campania
Centro Vaccinale M.S.Severino C/O Palestra Scuola Elem.-Ds67,STS,Campania
Centro Vaccinale Marigliano,STS,Campania
Centro Vaccinale Massa Lubrense,STS,Campania
Centro Vaccinale Mercogliano,STS,Campania
Centro Vaccinale Mirabella Eclanum,STS,Campania
Centro Vaccinale Montefalcione,STS,Campania
Centro Vaccinale Monteforte Irpino,STS,Campania
Centro Vaccinale Montella,STS,Campania
Centro Vaccinale Montemarano,STS,Campania
Centro Vaccinale Montoro,STS,Campania
Centro Vaccinale Moschiano,STS,Campania
Centro Vaccinale Mugnano Del Cardinale,STS,Campania
Centro Vaccinale Mugnano Di Napoli,STS,Campania
Centro Vaccinale Museo Madre,STS,Campania
Centro Vaccinale Nola,STS,Campania
Centro Vaccinale Ottaviano,STS,Campania
Centro Vaccinale Palma Campania,STS,Campania
Centro Vaccinale Piano Di Sorrento,STS,Campania
Centro Vaccinale Poggiomarino,STS,Campania
Centro Vaccinale Pomigliano D' Arco,STS,Campania
Centro Vaccinale Pompei,STS,Campania
Centro Vaccinale Portici,STS,Campania
Centro Vaccinale Pozzuoli,STS,Campania
Centro Vaccinale Quarto,STS,Campania
Centro Vaccinale S.Giorgio A Cremano,STS,Campania
Centro Vaccinale S.M. Di Castellabate-Ds70,STS,Campania
Centro Vaccinale S.Maria La Carita',STS,Campania
Centro Vaccinale S.Paolo Bel Sito,STS,Campania
Centro Vaccinale San Valentino Torio- Ds62,STS,Campania
Centro Vaccinale Sant' Anastasia,STS,Campania
Centro Vaccinale Sant'Angelo Dei Lombardi,STS,Campania
Centro Vaccinale Sant'Antimo,STS,Campania
Centro Vaccinale Solofra,STS,Campania
Centro Vaccinale Somma Vesuviana,STS,Campania
Centro Vaccinale Terzigno,STS,Campania
Centro Vaccinale Torre Del Greco,STS,Campania
Centro Vaccinale Vallata,STS,Campania
Centro Vaccinale Villaricca,STS,Campania
Centro Vaccinale_Vietri S/M - Ds63,STS,Campania
Centro Vaccinale-Matierno-Ds66,STS,Campania
Centro Villa Fraticelli,RIA,Campania
Cinetic,RIA,Campania
Civitas Srl,RIA,Campania
Cmr S.P.A.,RIA,Campania
Congr. Picc. Apostole Redenz.,RIA,Campania
Covid Vaccine Center,STS,Campania
Crs C.Riabilit Sanitaria Spa,RIA,Campania
Csa Tre Torri Di G.Salzano Sas,RIA,Campania
Dhc-Day H Cavour,RIA,Campania
Diarad Snc,RIA,Campania
Dimensione Azzurra Srl,RIA,Campania
Dinastar Srl,RIA,Campania
Femas Centro Riabilitazione,RIA,Campania
Fkt Fisiot  Riabilitazione Srl,RIA,Campania
Fond.F.Gambardella - Onlus-,RIA,Campania
Fond.F.Gambardella - Onlus -Sa,RIA,Campania
Fond.F.Gambardella-Onlus,RIA,Campania
Fondaz F.Gambardella Nocera In,RIA,Campania
Fondazione Don Carlo Gnocchi,RIA,Campania
Fondazione Istituto Antoniano,RIA,Campania
Gabinetto Fisiot.Te.Ri,RIA,Campania
Gerovit S.R.L.,RIA,Campania
Giffas Ente Morale Onlus,RIA,Campania
Gifoa Srl,RIA,Campania
I.Fl.Han.   S.R.L.,RIA,Campania
I.R.F.R.I.,RIA,Campania
I.R.M.I    S.R.L.,RIA,Campania
Insieme S.R.L.,RIA,Campania
Ipar Srl,RIA,Campania
Iprha Di Pazzanese,RIA,Campania
Istituto Antoniano,RIA,Campania
Istituto Filippo Smaldone,RIA,Campania
Istituto Iuventus Srl,RIA,Campania
Istituto Jean Piaget Srl,RIA,Campania
Istituto Juventus Srl,RIA,Campania
Istituto M.S.S. Annunziata,RIA,Campania
L`Incontro Centro Di Fisiokine,RIA,Campania
L`Oasi -Res Di Riab.Motoria,RIA,Campania
La  Rinascita,RIA,Campania
La Pinetina G.A.F.,RIA,Campania
Linea Medica Srl,RIA,Campania
Madre Claudia Soc Coop A R.L,RIA,Campania
Me.Di.Ca. Sud Srl,RIA,Campania
Medh Center Srl,RIA,Campania
Medical Center S.R.L.,RIA,Campania
Medical R. S.R.L.,RIA,Campania
Neapolisanit  S.R.L.,RIA,Campania
Nuovo Centro Fkt Srl,RIA,Campania
Opera Giovanile Juventus,RIA,Campania
Ortokinesis,RIA,Campania
Piccolo Cottolengo Don Orione,RIA,Campania
Pres  Riab Diocleziano Srl,RIA,Campania
Prov.Rel. Ss.Ap.Pietro E Paolo,RIA,Campania
Punto Vaccinale Cetara -Ds63,STS,Campania
Punto Vaccinale Oliveto Citra-Ds64,STS,Campania
Punto Vaccinale-Caggiano-Ds72,STS,Campania
Relax S.P.A.,RIA,Campania
Riabilitazione Pompeiana,RIA,Campania
Salus   S.R.L.,RIA,Campania
Sanatrix Nuovo Elaion,RIA,Campania
Serapide - Monte Di Procida,RIA,Campania
Serapide - Mugnano,RIA,Campania
Serapide - Pozzuoli,RIA,Campania
Servizi Sanitari Srl,RIA,Campania
Silba Spa- Villa Silvia,RIA,Campania
Silba Spa-Villa Alba,RIA,Campania
Silenziosi Operai Della Croce,RIA,Campania
So.Ge.Sa.Srl,RIA,Campania
Stud Polid Persico Primi Srl,RIA,Campania
Studio Cieffemme,RIA,Campania
Studio Ter.Fis. Cdt G.De Masi,RIA,Campania
Teoreo,RIA,Campania
Therapic Center Srl,RIA,Campania
Villa Dei Cedri S.R.L.,RIA,Campania
Villa Dei Fiori,RIA,Campania
Villa Dei Fiori Ex Gieffe Srl,RIA,Campania
Villa Delle Ginestre  S.R.L.,RIA,Campania
Amb. Vacc. Covid Calderara Di Reno Via Armaroli (Hub Az. Bonfiglioli),STS,Emilia-Romagna
Amb. Vaccinale Ausl Bologna C/O Ior Bologna,STS,Emilia-Romagna
Amb. Vaccinale Covid Anzola Via F. Santi (Hub Le Notti Di Cabiria),STS,Emilia-Romagna
Amb. Vaccinale Covid Argelato Via Centese,STS,Emilia-Romagna
Amb. Vaccinale Covid Bologna (Unibo) Via San Donato,STS,Emilia-Romagna
Amb. Vaccinale Covid Bologna Autostazione Piazza Xx Settembre,STS,Emilia-Romagna
Amb. Vaccinale Covid Bologna Roncati Via S Isaia,STS,Emilia-Romagna
Amb. Vaccinale Covid Budrio La Magnolia Via Bianchi,STS,Emilia-Romagna
Amb. Vaccinale Covid Budrio Piazzale Gioventu',STS,Emilia-Romagna
Amb. Vaccinale Covid Calderara Di R. Via Garibaldi,STS,Emilia-Romagna
Amb. Vaccinale Covid Camugnano Piazza Kennedy,STS,Emilia-Romagna
Amb. Vaccinale Covid Casalecchio Di Reno Via Gino Cervi,STS,Emilia-Romagna
Amb. Vaccinale Covid Casalecchio Parco Rodari,STS,Emilia-Romagna
Amb. Vaccinale Covid Casalecchio Via Porrettana,STS,Emilia-Romagna
Amb. Vaccinale Covid Castel D'Aiano Sede Cri Via Val D'Aneva,STS,Emilia-Romagna
Amb. Vaccinale Covid Castel Di Casio Via Torre Nuova,STS,Emilia-Romagna
Amb. Vaccinale Covid Castel Maggiore Sala Pp Pasolini Piazza Amendola,STS,Emilia-Romagna
Amb. Vaccinale Covid Castello D'Argile Via Del Mincio,STS,Emilia-Romagna
Amb. Vaccinale Covid Castenaso Cs Airone Via Marconi,STS,Emilia-Romagna
Amb. Vaccinale Covid Castiglione Dei Pepoli Piazza Mercato,STS,Emilia-Romagna
Amb. Vaccinale Covid Crevalcore Viale Italia,STS,Emilia-Romagna
Amb. Vaccinale Covid Gaggio Montano Sede Cri Via Cavalieri Di V. Veneto,STS,Emilia-Romagna
Amb. Vaccinale Covid Gaggio Montano Via Giovanni Xxiii,STS,Emilia-Romagna
Amb. Vaccinale Covid Galliera Via Della Pace,STS,Emilia-Romagna
Amb. Vaccinale Covid Grizzana M. Loc. Le Casiline,STS,Emilia-Romagna
Amb. Vaccinale Covid Lizzano In B. Sede Cri Via Azzali,STS,Emilia-Romagna
Amb. Vaccinale Covid Minerbio Via Roma,STS,Emilia-Romagna
Amb. Vaccinale Covid Monte S Pietro Via Gullini,STS,Emilia-Romagna
Amb. Vaccinale Covid Monzuno Ex Scuole Via Val Di Sambro,STS,Emilia-Romagna
Amb. Vaccinale Covid Pianoro Via Resistenza,STS,Emilia-Romagna
Amb. Vaccinale Covid S Agata B. Via Sibirani,STS,Emilia-Romagna
Amb. Vaccinale Covid S Benedetto Val Di Sambro Via Resistenza,STS,Emilia-Romagna
Amb. Vaccinale Covid S Giovanni In P. Via Newton,STS,Emilia-Romagna
Amb. Vaccinale Covid S. Giorgio Di P. Via Pirotti,STS,Emilia-Romagna
Amb. Vaccinale Covid Sala Bolognese Padulle Via Marconi,STS,Emilia-Romagna
Amb. Vaccinale Covid San Lazzaro Di S. Via Della Repubblica,STS,Emilia-Romagna
Amb. Vaccinale Covid Sasso Marconi Via Bertacchi,STS,Emilia-Romagna
Amb. Vaccinale Covid Sg In Persiceto Sm Della Decima Via Cento,STS,Emilia-Romagna
Amb. Vaccinale Covid Sl Di Savena Officine Via Emilia 253,STS,Emilia-Romagna
Amb. Vaccinale Covid Sp In Casale Via Conta,STS,Emilia-Romagna
Amb. Vaccinale Covid Sp In Casale Via Galliera,STS,Emilia-Romagna
Amb. Vaccinale Covid Tole' Via Basabue,STS,Emilia-Romagna
Amb. Vaccinale Covid Vado Via Crisalidi,STS,Emilia-Romagna
Amb. Vaccinale Covid Valsamoggia Viale Martiri,STS,Emilia-Romagna
Amb. Vaccinale Fiera Di Bologna Padiglione Polivalente,STS,Emilia-Romagna
Centro Vaccinale Covid Cmp,STS,Emilia-Romagna
Centro Vaccinale Covid Esp,STS,Emilia-Romagna
Centro Vaccinale Di Bomporto,STS,Emilia-Romagna
Centro Vaccinale Di Carpi,STS,Emilia-Romagna
Centro Vaccinale Di Castelfranco Emilia Presso Palasport,STS,Emilia-Romagna
Centro Vaccinale Di Fanano,STS,Emilia-Romagna
Centro Vaccinale Di Mirandola Presso Centro Prelievi,STS,Emilia-Romagna
Centro Vaccinale Di Mirandola Presso Comune,STS,Emilia-Romagna
Centro Vaccinale Di Modena Presso Hangar 3 Caserma Setti,STS,Emilia-Romagna
Centro Vaccinale Di Montefiorino,STS,Emilia-Romagna
Centro Vaccinale Di Montese,STS,Emilia-Romagna
Centro Vaccinale Di Palagano,STS,Emilia-Romagna
Centro Vaccinale Di Pavullo Presso Centro La Campanella,STS,Emilia-Romagna
Centro Vaccinale Di Polinago,STS,Emilia-Romagna
Centro Vaccinale Di Prignano Sulla Secchia,STS,Emilia-Romagna
Centro Vaccinale Di San Felice Sul Panaro Presso Comune,STS,Emilia-Romagna
Centro Vaccinale Di Sassuolo Presso Ferrari Spa,STS,Emilia-Romagna
Centro Vaccinale Di Vignola Presso Oratorio  Chiesa Parrocchiale Di Brodano,STS,Emilia-Romagna
Centro Vaccinale Di Zocca,STS,Emilia-Romagna
Centro Vaccinale Fiumalbo,STS,Emilia-Romagna
Centro Vaccinale Provinciale Rimini,STS,Emilia-Romagna
Covid Vaccinazione Anti Covid - Centro Sociale Torre Del Primaro Argenta,STS,Emilia-Romagna
Covid Vaccinazione Anti Covid - Centro Vaccinale Cento,STS,Emilia-Romagna
Covid Vaccinazione Anti Covid - Cittadella Dello Sport Di Comacchio,STS,Emilia-Romagna
Covid Vaccinazione Anti Covid - Fiera Congressi Di Ferrara,STS,Emilia-Romagna
Covid Vaccinazione Anti Covid - Palazzetto Centro Studi Di Codigoro,STS,Emilia-Romagna
Covid Vaccinazione Anti Covid Sede Prov - Fiera,STS,Emilia-Romagna
Covid Vaccinazione Anti Covid Sede Prov - Fiera Di Cesena,STS,Emilia-Romagna
Covid Vaccinazione Anti Covid Sede Prov - Fiera Forli',STS,Emilia-Romagna
Covid Vaccinazione Anti Covid Sede Prov - Pala De Andre,STS,Emilia-Romagna
Fondazione Don Carlo Gnocchi,RIA,Emilia-Romagna
Hub Bonfiglioli Vacc.Covid 19,STS,Emilia-Romagna
Hub Ima Vacc.Covid 19,STS,Emilia-Romagna
Hub Unisalute Vacc.Covid 19,STS,Emilia-Romagna
Igiene Pubblica Borgo Val Di Taro,STS,Emilia-Romagna
Igiene Pubblica Borgo Val Di Taro Distaccato Vaccinazioni,STS,Emilia-Romagna
Igiene Pubblica Fidenza,STS,Emilia-Romagna
Igiene Pubblica Langhirano,STS,Emilia-Romagna
Igiene Pubblica Parma,STS,Emilia-Romagna
Inail-Centro Di Vigorso,RIA,Emilia-Romagna
Luce Sul Mare,RIA,Emilia-Romagna
Punto Adi Vaccinazione Anti Covid 19 - Casa Della Salute Di Cspt,STS,Emilia-Romagna
Punto Adi Vaccinazione Anti Covid 19 - Casa Della Salute Di Medicina,STS,Emilia-Romagna
Punto Adi Vaccinazione Anti Covid 19 - Casa Della Salute Vallata Del Santerno,STS,Emilia-Romagna
"Punto Adi Vaccinazione Anti Covid 19 - Teatro ""L. Lolli""                                            ",STS,Emilia-Romagna
Punto Unico Provinciale Vaccinale Anti Sars-Cov-2,STS,Emilia-Romagna
Punto Vaccinale Ambulatorio Ospedale Carpi,STS,Emilia-Romagna
Punto Vaccinale Ambulatorio Presso Ospedale Vignola,STS,Emilia-Romagna
Punto Vaccinale Anticovid C/O Ospedale Forli',STS,Emilia-Romagna
