CODICE REGIONE,DENOMINAZIONE REGIONE,CODICE AZIENDA,DENOMINAZIONE AZIENDA,INDIRIZZO,CAP,COMUNE
130,Abruzzo,202,Lanciano-Vasto-Chieti,Chieti  Via Martiri Lancianesi 19,66100,Chieti
130,Abruzzo,202,Lanciano-Vasto-Chieti,Chieti  Via Martiri Lancianesi 19,66100,Chieti
130,Abruzzo,202,Lanciano-Vasto-Chieti,Chieti  Via Martiri Lancianesi 19,66100,Chieti
130,Abruzzo,202,Lanciano-Vasto-Chieti,Chieti  Via Martiri Lancianesi 19,66100,Chieti
130,Abruzzo,202,Lanciano-Vasto-Chieti,Chieti  Via Martiri Lancianesi 19,66100,Chieti
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,201,A.S.L. Avellino,Via Degli Imbimbo 10/12,83100,Avellino
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,202,A.S.L. Benevento,Via Oderisio 1,82100,Benevento
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
150,Campania,203,A.S.L. Caserta,Via Unita' Italiana 28,81100,Caserta
30,Lombardia,301,A.S.L. Della Provincia Di Bergamo,Via Gallicciolli 4,24121,Bergamo
30,Lombardia,301,A.S.L. Della Provincia Di Bergamo,Via Gallicciolli 4,24121,Bergamo
30,Lombardia,301,A.S.L. Della Provincia Di Bergamo,Via Gallicciolli 4,24121,Bergamo
30,Lombardia,301,A.S.L. Della Provincia Di Bergamo,Via Gallicciolli 4,24121,Bergamo
30,Lombardia,301,A.S.L. Della Provincia Di Bergamo,Via Gallicciolli 4,24121,Bergamo
30,Lombardia,301,A.S.L. Della Provincia Di Bergamo,Via Gallicciolli 4,24121,Bergamo
30,Lombardia,302,A.S.L. Della Provincia Di Brescia,V.Le Duca Degli Abruzzi 15,25124,Brescia
30,Lombardia,302,A.S.L. Della Provincia Di Brescia,V.Le Duca Degli Abruzzi 15,25124,Brescia
30,Lombardia,302,A.S.L. Della Provincia Di Brescia,V.Le Duca Degli Abruzzi 15,25124,Brescia
30,Lombardia,302,A.S.L. Della Provincia Di Brescia,V.Le Duca Degli Abruzzi 15,25124,Brescia
30,Lombardia,302,A.S.L. Della Provincia Di Brescia,V.Le Duca Degli Abruzzi 15,25124,Brescia
30,Lombardia,302,A.S.L. Della Provincia Di Brescia,V.Le Duca Degli Abruzzi 15,25124,Brescia
30,Lombardia,303,A.S.L. Della Provincia Di Como,Via Pessina 6,22100,Como
30,Lombardia,303,A.S.L. Della Provincia Di Como,Via Pessina 6,22100,Como
30,Lombardia,303,A.S.L. Della Provincia Di Como,Via Pessina 6,22100,Como
30,Lombardia,303,A.S.L. Della Provincia Di Como,Via Pessina 6,22100,Como
30,Lombardia,303,A.S.L. Della Provincia Di Como,Via Pessina 6,22100,Como
30,Lombardia,303,A.S.L. Della Provincia Di Como,Via Pessina 6,22100,Como
30,Lombardia,304,A.S.L. Della Provincia Di Cremona,Via S. Sebastiano 14,26100,Cremona
30,Lombardia,304,A.S.L. Della Provincia Di Cremona,Via S. Sebastiano 14,26100,Cremona
30,Lombardia,304,A.S.L. Della Provincia Di Cremona,Via S. Sebastiano 14,26100,Cremona
30,Lombardia,304,A.S.L. Della Provincia Di Cremona,Via S. Sebastiano 14,26100,Cremona
30,Lombardia,304,A.S.L. Della Provincia Di Cremona,Via S. Sebastiano 14,26100,Cremona
30,Lombardia,304,A.S.L. Della Provincia Di Cremona,Via S. Sebastiano 14,26100,Cremona
30,Lombardia,305,A.S.L. Della Provincia Di Lecco,C.So Carlo Alberto 120,23900,Lecco
30,Lombardia,305,A.S.L. Della Provincia Di Lecco,C.So Carlo Alberto 120,23900,Lecco
30,Lombardia,305,A.S.L. Della Provincia Di Lecco,C.So Carlo Alberto 120,23900,Lecco
30,Lombardia,305,A.S.L. Della Provincia Di Lecco,C.So Carlo Alberto 120,23900,Lecco
30,Lombardia,305,A.S.L. Della Provincia Di Lecco,C.So Carlo Alberto 120,23900,Lecco
30,Lombardia,305,A.S.L. Della Provincia Di Lecco,C.So Carlo Alberto 120,23900,Lecco
30,Lombardia,306,A.S.L. Della Provincia Di Lodi,P.Zza Ospedale 1,26900,Lodi
30,Lombardia,306,A.S.L. Della Provincia Di Lodi,P.Zza Ospedale 1,26900,Lodi
30,Lombardia,306,A.S.L. Della Provincia Di Lodi,P.Zza Ospitale 10,26900,Lodi
30,Lombardia,306,A.S.L. Della Provincia Di Lodi,P.Zza Ospitale 10,26900,Lodi
30,Lombardia,306,A.S.L. Della Provincia Di Lodi,P.Zza Ospitale 10,26900,Lodi
30,Lombardia,306,A.S.L. Della Provincia Di Lodi,P.Zza Ospitale 10,26900,Lodi
30,Lombardia,307,A.S.L. Della Provincia Di Mantova,Via Dei Toscani 1,46100,Mantova
30,Lombardia,307,A.S.L. Della Provincia Di Mantova,Via Dei Toscani 1,46100,Mantova
30,Lombardia,307,A.S.L. Della Provincia Di Mantova,Via Dei Toscani 1,46100,Mantova
30,Lombardia,307,A.S.L. Della Provincia Di Mantova,Via Dei Toscani 1,46100,Mantova
30,Lombardia,307,A.S.L. Della Provincia Di Mantova,Via Dei Toscani 1,46100,Mantova
30,Lombardia,307,A.S.L. Della Provincia Di Mantova,Via Dei Toscani 1,46100,Mantova
30,Lombardia,309,A.S.L. Della Provincia Di Milano 1,Via Savonarola 3,20025,Legnano
30,Lombardia,309,A.S.L. Della Provincia Di Milano 1,Via Savonarola 3,20025,Legnano
30,Lombardia,309,A.S.L. Della Provincia Di Milano 1,Via Savonarola 3,20025,Legnano
30,Lombardia,309,A.S.L. Della Provincia Di Milano 1,Via Savonarola 3,20025,Legnano
30,Lombardia,309,A.S.L. Della Provincia Di Milano 1,Via Savonarola 3,20025,Legnano
30,Lombardia,309,A.S.L. Della Provincia Di Milano 1,Via Savonarola 3,20025,Legnano
30,Lombardia,310,A.S.L. Della Provincia Di Milano 2,Via Viii Giugno 69,20077,Melegnano
30,Lombardia,310,A.S.L. Della Provincia Di Milano 2,Via Viii Giugno 69,20077,Melegnano
30,Lombardia,310,A.S.L. Della Provincia Di Milano 2,Via Viii Giugno 69,20077,Melegnano
30,Lombardia,310,A.S.L. Della Provincia Di Milano 2,Via Viii Giugno 69,20077,Melegnano
30,Lombardia,310,A.S.L. Della Provincia Di Milano 2,Via Viii Giugno 69,20077,Melegnano
30,Lombardia,310,A.S.L. Della Provincia Di Milano 2,Via Viii Giugno 69,20077,Melegnano
30,Lombardia,312,A.S.L. Della Provincia Di Pavia,Viale Indipendenza 3,27100,Pavia
30,Lombardia,312,A.S.L. Della Provincia Di Pavia,Viale Indipendenza 3,27100,Pavia
30,Lombardia,312,A.S.L. Della Provincia Di Pavia,Viale Indipendenza 3,27100,Pavia
30,Lombardia,312,A.S.L. Della Provincia Di Pavia,Viale Indipendenza 3,27100,Pavia
30,Lombardia,312,A.S.L. Della Provincia Di Pavia,Viale Indipendenza 3,27100,Pavia
30,Lombardia,312,A.S.L. Della Provincia Di Pavia,Viale Indipendenza 3,27100,Pavia
30,Lombardia,313,A.S.L. Della Provincia Di Sondrio,Via Nazario Sauro 33,23100,Sondrio
30,Lombardia,313,A.S.L. Della Provincia Di Sondrio,Via Nazario Sauro 33,23100,Sondrio
30,Lombardia,313,A.S.L. Della Provincia Di Sondrio,Via Nazario Sauro 38,23100,Sondrio
30,Lombardia,313,A.S.L. Della Provincia Di Sondrio,Via Nazario Sauro 38,23100,Sondrio
30,Lombardia,313,A.S.L. Della Provincia Di Sondrio,Via Nazario Sauro 38,23100,Sondrio
30,Lombardia,313,A.S.L. Della Provincia Di Sondrio,Via Nazario Sauro 38,23100,Sondrio
30,Lombardia,314,A.S.L. Della Provincia Di Varese,Via Ottorino Rossi 9,21100,Varese
30,Lombardia,314,A.S.L. Della Provincia Di Varese,Via Ottorino Rossi 9,21100,Varese
30,Lombardia,314,A.S.L. Della Provincia Di Varese,Via Ottorino Rossi 9,21100,Varese
30,Lombardia,314,A.S.L. Della Provincia Di Varese,Via Ottorino Rossi 9,21100,Varese
30,Lombardia,314,A.S.L. Della Provincia Di Varese,Via Ottorino Rossi 9,21100,Varese
30,Lombardia,314,A.S.L. Della Provincia Di Varese,Via Ottorino Rossi 9,21100,Varese
30,Lombardia,308,A.S.L. Di Milano,C.So Italia 19,20122,Milano
30,Lombardia,308,A.S.L. Di Milano,C.So Italia 19,20122,Milano
30,Lombardia,308,A.S.L. Di Milano,C.So Italia 19,20122,Milano
30,Lombardia,308,A.S.L. Di Milano,C.So Italia 19,20122,Milano
30,Lombardia,308,A.S.L. Di Milano,C.So Italia 19,20122,Milano
30,Lombardia,308,A.S.L. Di Milano,C.So Italia 19,20122,Milano
30,Lombardia,315,A.S.L. Di Vallecamonica-Sebino,Via Nissolina 2,25043,Breno
30,Lombardia,315,A.S.L. Di Vallecamonica-Sebino,Via Nissolina 2,25043,Breno
30,Lombardia,315,A.S.L. Di Vallecamonica-Sebino,Via Nissolina 2,25043,Breno
30,Lombardia,315,A.S.L. Di Vallecamonica-Sebino,Via Nissolina 2,25043,Breno
30,Lombardia,315,A.S.L. Di Vallecamonica-Sebino,Via Nissolina 2,25043,Breno
30,Lombardia,315,A.S.L. Di Vallecamonica-Sebino,Via Nissolina 2,25043,Breno
150,Campania,204,A.S.L. Napoli 1 Centro,Centro Direzionale Is. F/9,80143,Napoli
150,Campania,204,A.S.L. Napoli 1 Centro,Centro Direzionale Is. F/9,80143,Napoli
150,Campania,204,A.S.L. Napoli 1 Centro,Centro Direzionale Is. F/9,80143,Napoli
150,Campania,204,A.S.L. Napoli 1 Centro,Via Comunale Del Principe 13/A,80145,Napoli
150,Campania,204,A.S.L. Napoli 1 Centro,Via Comunale Del Principe 13/A,80145,Napoli
150,Campania,204,A.S.L. Napoli 1 Centro,Via Comunale Del Principe 13/A,80145,Napoli
150,Campania,204,A.S.L. Napoli 1 Centro,Via Comunale Del Principe 13/A,80145,Napoli
150,Campania,204,A.S.L. Napoli 1 Centro,Via Comunale Del Principe 13/A,80145,Napoli
150,Campania,204,A.S.L. Napoli 1 Centro,Via Comunale Del Principe 13/A,80145,Napoli
150,Campania,204,A.S.L. Napoli 1 Centro,Via Comunale Del Principe 13/A,80145,Napoli
150,Campania,204,A.S.L. Napoli 1 Centro,Via Comunale Del Principe 13/A,80145,Napoli
150,Campania,204,A.S.L. Napoli 1 Centro,Via Comunale Del Principe 13/A,80145,Napoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,205,A.S.L. Napoli 2 Nord,Via Corrado Alvaro 8,80078,Pozzuoli
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
150,Campania,206,A.S.L. Napoli 3 Sud,C.So Alcide De Gasperi 167,80053,Castellammare Di Stabia
30,Lombardia,311,A.S.L. Provincia Di Monza E Brianza,Viale Elvezia 2,20052,Monza
30,Lombardia,311,A.S.L. Provincia Di Monza E Brianza,Viale Elvezia 2,20052,Monza
30,Lombardia,311,A.S.L. Provincia Di Monza E Brianza,Viale Elvezia 2,20900,Monza
30,Lombardia,311,A.S.L. Provincia Di Monza E Brianza,Viale Elvezia 2,20900,Monza
30,Lombardia,311,A.S.L. Provincia Di Monza E Brianza,Viale Elvezia 2,20900,Monza
30,Lombardia,311,A.S.L. Provincia Di Monza E Brianza,Viale Elvezia 2,20900,Monza
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
150,Campania,207,A.S.L. Salerno,Via Nizza 146,84124,Salerno
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,203,A.S.P. Catanzaro,Via Vinicio Cortese 25,88100,Catanzaro
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
180,Calabria,201,A.S.P. Cosenza,Viale Degli Alimena 8,87100,Cosenza
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,202,A.S.P. Crotone,Via Corigliano 1,88900,Crotone
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,205,A.S.P. Reggio Calabria,Via Sant'Anna Ii Tronco 18/P,89128,Reggio Di Calabria
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
180,Calabria,204,A.S.P. Vibo Valentia,Via Dante Alighieri 1,89900,Vibo Valentia
50,Veneto,119,Adria,Piazza Degli Etruschi 9,45011,Adria
50,Veneto,119,Adria,Piazza Degli Etruschi 9,45011,Adria
50,Veneto,119,Adria,Piazza Degli Etruschi 9,45011,Adria
50,Veneto,119,Adria,Piazza Degli Etruschi 9,45011,Adria
50,Veneto,119,Adria,Piazza Degli Etruschi 9,45011,Adria
50,Veneto,119,Adria,Piazza Degli Etruschi 9,45011,Adria
50,Veneto,119,Adria,Piazza Degli Etruschi 9,45011,Adria
60,Friuli Venezia Giulia,103,Alto Friuli,"P.Za Portuzza, 1",33013,Gemona Del Friuli
60,Friuli Venezia Giulia,103,Alto Friuli,P.Za Portuzza 2,33013,Gemona Del Friuli
60,Friuli Venezia Giulia,103,Alto Friuli,P.Za Portuzza 2,33013,Gemona Del Friuli
60,Friuli Venezia Giulia,103,Alto Friuli,P.Za Portuzza 2,33013,Gemona Del Friuli
60,Friuli Venezia Giulia,103,Alto Friuli,P.Za Portuzza 2,33013,Gemona Del Friuli
60,Friuli Venezia Giulia,203,Alto Friuli - Collinare - Medio Friuli,P.Za Portuzza 2,33013,Gemona Del Friuli
