denominazione_struttura,tipologia,nome_area
SAN STEF. AR. ABRUZZO-VSM,RIA,Abruzzo
SAN STEF. AR. ABRUZZO-VST,RIA,Abruzzo
SERV RIAB AVEZZANO,RIA,Abruzzo
SERV RIAB SULMONA,RIA,Abruzzo
AIAS,RIA,Basilicata
AIAS-SEZ.MELFI - SEDE MATERA,RIA,Basilicata
C.T.R. Srl,RIA,Basilicata
CENTRO   R. H. A. M.,RIA,Basilicata
CENTRO A.I.A.S. di LAURIA,RIA,Basilicata
CENTRO AIAS F. BAGNALE,RIA,Basilicata
CENTRO DI RIABILITAZIONE AIAS,RIA,Basilicata
CENTRO POLICENTER S.R.L.,RIA,Basilicata
CENTRO SAN PAOLO SERVIZI,RIA,Basilicata
CENTRO TAVOLARO s.r.l,RIA,Basilicata
CENTRO VACCINALE  -Complesso sportivo Rocco Mazzola,STS,Basilicata
CENTRO VACCINALE CONFAPI PZ,STS,Basilicata
CENTRO VACCINALE COVID ENEL,STS,Basilicata
CENTRO VACCINALE COVID-19 LAVELLO,STS,Basilicata
CENTRO VACCINALE COVID-19 MELFI,STS,Basilicata
CENTRO VACCINALE COVID-19 MMG ASP,STS,Basilicata
CENTRO VACCINALE DOMICILIARE ASP,STS,Basilicata
CENTRO VACCINALE FARMACIE ASP,STS,Basilicata
CENTRO VACCINALE FERRERO,STS,Basilicata
CENTRO VACCINALE TOTAL,STS,Basilicata
FISIOKINESITERAPIA MELANDRO,RIA,Basilicata
FONDAZIONE DON GNOCCHI ONLUS,RIA,Basilicata
GENOVESE CAMILLO s.r.l,RIA,Basilicata
ISTITUTO PADRI TRINITARI,RIA,Basilicata
POLO RIAB FDG ASM,RIA,Basilicata
PUNTO VACCINALE M.M.G. ASM,STS,Basilicata
PUNTO VACCINALE MATERA,STS,Basilicata
PUNTO VACCINALE PISTICCI,STS,Basilicata
PUNTO VACCINALE POLICORO,STS,Basilicata
PUNTO VACCINALE STIGLIANO,STS,Basilicata
PUNTO VACCINALE TRICARICO,STS,Basilicata
RESSANA S.R.L.,RIA,Basilicata
Universo Salute Srl CSSR PZ,RIA,Basilicata
AIAS Vadue  di Carolei,RIA,Calabria
ANMI SISS - Rossano,RIA,Calabria
Anmi Siss srl - Cosenza,RIA,Calabria
ASS. COMUNITA' PROGETTO SUD,RIA,Calabria
ASS. MUTUA BENEVOLENTIA,RIA,Calabria
C.I.F. CASA SERENA S.G.BOSCO,RIA,Calabria
Case della Salute Mormanno,RIA,Calabria
Cenro Riab. Don Milani Lungro,RIA,Calabria
CENTRO CARLO PIZZI,RIA,Calabria
CENTRO CLINICO SAN VITALIANO,RIA,Calabria
Centro di Riab.ne NOVA SALUS,RIA,Calabria
CENTRO DI RIABILITAZIONE AMNIC,RIA,Calabria
Centro di Riabilitazione S. G.,RIA,Calabria
CENTRO EMMANUELE,RIA,Calabria
CENTRO NADIA VADALA',RIA,Calabria
CENTRO RIAB ESTENSIV AQUASALUS,RIA,Calabria
Centro Riabil. Anmic S. G.,RIA,Calabria
CENTRO RIABILITATIVO LUCREZIA,RIA,Calabria
CENTRO RIABILITAZIONE S.CHIARA,RIA,Calabria
CENTRO SOPHIA,RIA,Calabria
CENTRO TRIPEPI MARIOTTI,RIA,Calabria
Clinica Service Center,RIA,Calabria
Coop. Soc.le Skinner srl Onlus,RIA,Calabria
Costruire il Domani ONLUS,RIA,Calabria
CRE SAN DOMENICO,RIA,Calabria
CRE-SAN VITO HOSPITAL,RIA,Calabria
Ctr Med. e FKT Dott. P. Crupi,RIA,Calabria
ENTE MORALE F. GERMANO,RIA,Calabria
Fiosenter S.R.L.,RIA,Calabria
FKT BAGNARESE srl,RIA,Calabria
Fond. Marino per l'Autismo Onl,RIA,Calabria
"FONDAZIONE ""CASA DELLA CARITA'",RIA,Calabria
FONDAZIONE BETANIA ONLUS,RIA,Calabria
IST. CURA MEDICAL & PSYCHOLOGY,RIA,Calabria
IST. PSICO-PED. VILLA BETANIA,RIA,Calabria
ISTITUTO DI RIAB.VILLA S.AGATA,RIA,Calabria
ONLUS - Cetraro,RIA,Calabria
PRES. DI RIAB. CENTRO SAN GIUS,RIA,Calabria
RESIDENZA AD ALTO TRATTAMENTO,RIA,Calabria
Riabil. Madonna Della Catena,RIA,Calabria
RIABILIA DI L. BARILLARO SAS,RIA,Calabria
"Riabilit.Est. ""Biolife"" srl",RIA,Calabria
Riabilitazione Castrovillari,RIA,Calabria
SALUS SPA,RIA,Calabria
SANTA CHIARA SRL,RIA,Calabria
SASA' MARTINO,RIA,Calabria
STARBENE  SRL,RIA,Calabria
STUDIO MEDICO POL. F.K.T. ALFA,RIA,Calabria
Terme Sibarite S.P.A.,RIA,Calabria
turano C.&.C. SRL,RIA,Calabria
UNITA OPERATIVA RECUPERO NEURO,RIA,Calabria
VILLA ADELCHI - RIACE S.R.L.,RIA,Calabria
VILLA SAN GIUSEPPE,RIA,Calabria
Villa San Pio Dipignano,RIA,Calabria
VILLA TORANO,RIA,Calabria
AIAS  CALITRI,RIA,Campania
AIAS AFRAGOLA,RIA,Campania
AIAS CASORIA,RIA,Campania
AIAS NUSCO,RIA,Campania
AIAS ONLUS C.R.M. MARECHIARO,RIA,Campania
AIAS PENISOLA SORRENTINA,RIA,Campania
AIAS PEPPINO SCOPPA,RIA,Campania
AIAS SEZ.DI NOLA - CICCIANO,RIA,Campania
AIAS VICO E.ARCO FELICE,RIA,Campania
ANFFAS ONLUS,RIA,Campania
ANFFAS ONLUS CAPRI,RIA,Campania
ANTARES CENTRO RIABILITAZIONE,RIA,Campania
ASS. LA NOSTRA FAMIGLIA,RIA,Campania
ASSOCIAZIONE META FELIX,RIA,Campania
Azienda Ospedaliera dei Colli,RIA,Campania
C. Soc. Na. ANFFAS Cdr C. Ursi,RIA,Campania
C.D.Spettro Autistico,RIA,Campania
C.F.R. ISTIT. DI RIABILIT. SRL,RIA,Campania
C.G.M. SAN LUCA S.R.L.,RIA,Campania
C.T.A. SRL,RIA,Campania
C.T.F. CENTRO  TERAPIA FISICA,RIA,Campania
C.TRO LA PRIMULA  SRL,RIA,Campania
CASA DI CURA S M DEL POZZO CEM,RIA,Campania
CEDIF srl,RIA,Campania
CEFIM S.N.C.,RIA,Campania
CENTRO  FISIOVESUVIANO  S.R.L.,RIA,Campania
CENTRO  MOSCATI SRL,RIA,Campania
CENTRO  VACCINALE - AGROPOLI-DS70,STS,Campania
CENTRO  VACCINALE - PELLEZZANO-DS66,STS,Campania
CENTRO  VACCINALE CASTELNUOVO CILENTO-DS70,STS,Campania
CENTRO A.I.R.R.I.,RIA,Campania
CENTRO A.T.H.E.N.A. S.N.C.,RIA,Campania
CENTRO AGROAVERSANO,RIA,Campania
CENTRO ANNA RITA BUONINCONTRO,RIA,Campania
CENTRO CAMPANO,RIA,Campania
CENTRO CRON,RIA,Campania
Centro di ginn. med. SANTULLI,RIA,Campania
CENTRO DI RADIOLOGIA GINOLFI,RIA,Campania
CENTRO DI rIABILITAZIONE,RIA,Campania
CENTRO DI RIABILITAZIONE,RIA,Campania
CENTRO DON ORIONE,RIA,Campania
CENTRO FISIOKINESIT.CILENTO,RIA,Campania
CENTRO FLEGREO SRL,RIA,Campania
CENTRO FUTURA SRL,RIA,Campania
CENTRO G.TORRE,RIA,Campania
CENTRO HORIZON SRL,RIA,Campania
CENTRO JUVENIA SRL,RIA,Campania
Centro Juventus Vibonati s.r.l,RIA,Campania
CENTRO LARS,RIA,Campania
CENTRO MANZONI SRL,RIA,Campania
CENTRO MED.PSICOSOMATICA,RIA,Campania
CENTRO MED.RIABIL.S.MARCO SRL,RIA,Campania
CENTRO MEDICO RIABILIT. POMPEI,RIA,Campania
CENTRO MINERVA    SRL,RIA,Campania
CENTRO PANDA SRL,RIA,Campania
CENTRO PLINIO srl,RIA,Campania
CENTRO PRIF S.R.L.,RIA,Campania
CENTRO PRO-JUVENTUTE MINERVA,RIA,Campania
Centro RELAX S.P.A.,RIA,Campania
CENTRO RELAX S.P.A.,RIA,Campania
CENTRO RELAX SPA R.L.CAPORASO,RIA,Campania
CENTRO RIAB. E REC. H. ABATESE,RIA,Campania
CENTRO RIABILITAZIONE MOTORIA,RIA,Campania
CENTRO RIABILITAZIONE PROCIDA,RIA,Campania
CENTRO RODI SRL,RIA,Campania
CENTRO S. CIRO,RIA,Campania
CENTRO S. PAOLO,RIA,Campania
CENTRO SALUS S.R.L.,RIA,Campania
CENTRO SAN VINCENZO,RIA,Campania
CENTRO SERENA SAS,RIA,Campania
CENTRO STUDI DELL SCOLIOSI SRL,RIA,Campania
CENTRO TERAP. RIAB.DE NICOLA,RIA,Campania
CENTRO TIVAN SRL,RIA,Campania
CENTRO VACCINALE  ANTICOVID  IISS S. CATERINA DS66,STS,Campania
CENTRO VACCINALE  BARONISSI C/O PALAIRNO-DS67,STS,Campania
CENTRO VACCINALE  DI SIANO-DS67,STS,Campania
CENTRO VACCINALE - SAN MARZANO SUL SARNO-DS62,STS,Campania
CENTRO VACCINALE ACERRA,STS,Campania
CENTRO VACCINALE AFRAGOLA,STS,Campania
CENTRO VACCINALE AGEROLA,STS,Campania
Centro vaccinale Altavilla Irpina,STS,Campania
CENTRO VACCINALE -ANGRI-DS61,STS,Campania
CENTRO VACCINALE ANTI COVID DS61,STS,Campania
CENTRO VACCINALE ANTI COVID DS63,STS,Campania
CENTRO VACCINALE ANTI COVID DS63,STS,Campania
CENTRO VACCINALE ANTI COVID DS63,STS,Campania
CENTRO VACCINALE ANTI COVID TEATRO AUGUSTEO DS66,STS,Campania
CENTRO VACCINALE ANTI COVID-PAGANI-DS62,STS,Campania
CENTRO VACCINALE ANTICOVID-SALA CONSILINA-DS72,STS,Campania
Centro vaccinale Ariano Irpino,STS,Campania
Centro vaccinale Ariano Irpino,STS,Campania
Centro vaccinale Avellino,STS,Campania
CENTRO VACCINALE BACOLI,STS,Campania
Centro Vaccinale Bisaccia,STS,Campania
CENTRO VACCINALE BOSCOTRECASE,STS,Campania
CENTRO VACCINALE c/o CENTRO SOCIALE-DS66,STS,Campania
CENTRO VACCINALE c/o TEATRO DE LISE-DS62,STS,Campania
CENTRO VACCINALE CARDITO,STS,Campania
CENTRO VACCINALE CASALNUOVO,STS,Campania
CENTRO VACCINALE CASAVATORE,STS,Campania
CENTRO VACCINALE CASTELLAMMARE DI STABIA,STS,Campania
CENTRO VACCINALE -CAVA DEI TIRRENI-DS63,STS,Campania
CENTRO VACCINALE CERCOLA,STS,Campania
Centro vaccinale Cervinara,STS,Campania
CENTRO VACCINALE DI  FISCIANO-DS67,STS,Campania
CENTRO VACCINALE DI SASSANO- DS72,STS,Campania
CENTRO VACCINALE ERCOLANO,STS,Campania
Centro vaccinale Fagianeria Real Bosco di Capodimonte,STS,Campania
Centro vaccinale Flumeri,STS,Campania
CENTRO VACCINALE FORIO,STS,Campania
CENTRO VACCINALE FRATTAMAGGIORE,STS,Campania
CENTRO VACCINALE FRATTAMINORE,STS,Campania
CENTRO VACCINALE GIUGLIANO,STS,Campania
CENTRO VACCINALE GIUGLIANO,STS,Campania
Centro vaccinale Grottaminarda,STS,Campania
CENTRO VACCINALE HANGAR ATITECH,STS,Campania
CENTRO VACCINALE HUB CAPODICHINO,STS,Campania
CENTRO VACCINALE ISCHIA,STS,Campania
Centro Vaccinale Lioni,STS,Campania
CENTRO VACCINALE M.S.SEVERINO C/O PALESTRA SCUOLA ELEM.-DS67,STS,Campania
CENTRO VACCINALE MARIGLIANO,STS,Campania
CENTRO VACCINALE MASSA LUBRENSE,STS,Campania
Centro vaccinale Mercogliano,STS,Campania
Centro vaccinale Mirabella Eclanum,STS,Campania
Centro vaccinale Montefalcione,STS,Campania
Centro vaccinale Monteforte Irpino,STS,Campania
Centro Vaccinale Montella,STS,Campania
Centro vaccinale Montemarano,STS,Campania
Centro vaccinale Montoro,STS,Campania
Centro vaccinale Moschiano,STS,Campania
Centro vaccinale Mugnano del Cardinale,STS,Campania
CENTRO VACCINALE MUGNANO DI NAPOLI,STS,Campania
Centro vaccinale Museo Madre,STS,Campania
CENTRO VACCINALE NOLA,STS,Campania
CENTRO VACCINALE OTTAVIANO,STS,Campania
CENTRO VACCINALE PALMA CAMPANIA,STS,Campania
CENTRO VACCINALE PIANO DI SORRENTO,STS,Campania
CENTRO VACCINALE POGGIOMARINO,STS,Campania
CENTRO VACCINALE POMIGLIANO D' ARCO,STS,Campania
CENTRO VACCINALE POMPEI,STS,Campania
CENTRO VACCINALE PORTICI,STS,Campania
CENTRO VACCINALE POZZUOLI,STS,Campania
CENTRO VACCINALE QUARTO,STS,Campania
CENTRO VACCINALE S.GIORGIO A CREMANO,STS,Campania
CENTRO VACCINALE S.M. DI CASTELLABATE-DS70,STS,Campania
CENTRO VACCINALE S.MARIA LA CARITA',STS,Campania
CENTRO VACCINALE S.PAOLO BEL SITO,STS,Campania
CENTRO VACCINALE SAN VALENTINO TORIO- DS62,STS,Campania
CENTRO VACCINALE SANT' ANASTASIA,STS,Campania
Centro Vaccinale Sant'Angelo dei Lombardi,STS,Campania
CENTRO VACCINALE SANT'ANTIMO,STS,Campania
Centro vaccinale Solofra,STS,Campania
CENTRO VACCINALE SOMMA VESUVIANA,STS,Campania
CENTRO VACCINALE TERZIGNO,STS,Campania
CENTRO VACCINALE TORRE DEL GRECO,STS,Campania
Centro vaccinale Vallata,STS,Campania
CENTRO VACCINALE VILLARICCA,STS,Campania
CENTRO VACCINALE_VIETRI S/M - DS63,STS,Campania
CENTRO VACCINALE-MATIERNO-DS66,STS,Campania
CENTRO VILLA FRATICELLI,RIA,Campania
CINETIC,RIA,Campania
CIVITAS SRL,RIA,Campania
CMR S.P.A.,RIA,Campania
CONGR. PICC. APOSTOLE REDENZ.,RIA,Campania
Covid Vaccine Center,STS,Campania
CRS C.RIABILIT SANITARIA SPA,RIA,Campania
CSA TRE TORRI DI G.SALZANO SAS,RIA,Campania
DHC-DAY H CAVOUR,RIA,Campania
DIARAD SNC,RIA,Campania
DIMENSIONE AZZURRA SRL,RIA,Campania
DINASTAR SRL,RIA,Campania
FEMAS CENTRO RIABILITAZIONE,RIA,Campania
FKT FISIOT  RIABILITAZIONE SRL,RIA,Campania
FOND.F.GAMBARDELLA - ONLUS-,RIA,Campania
FOND.F.GAMBARDELLA - ONLUS -SA,RIA,Campania
FOND.F.GAMBARDELLA-ONLUS,RIA,Campania
FONDAZ F.GAMBARDELLA NOCERA IN,RIA,Campania
FONDAZIONE DON CARLO GNOCCHI,RIA,Campania
Fondazione Istituto Antoniano,RIA,Campania
GABINETTO FISIOT.TE.RI,RIA,Campania
GEROVIT s.r.l.,RIA,Campania
GIFFAS ENTE MORALE ONLUS,RIA,Campania
GIFOA SRL,RIA,Campania
I.FL.HAN.   S.R.L.,RIA,Campania
I.R.F.R.I.,RIA,Campania
I.R.M.I    S.R.L.,RIA,Campania
INSIEME S.R.L.,RIA,Campania
IPAR SRL,RIA,Campania
IPRHA DI PAZZANESE,RIA,Campania
ISTITUTO ANTONIANO,RIA,Campania
ISTITUTO FILIPPO SMALDONE,RIA,Campania
ISTITUTO FILIPPO SMALDONE,RIA,Campania
ISTITUTO IUVENTUS SRL,RIA,Campania
ISTITUTO JEAN PIAGET SRL,RIA,Campania
ISTITUTO JUVENTUS SRL,RIA,Campania
ISTITUTO M.S.S. ANNUNZIATA,RIA,Campania
L`INCONTRO CENTRO DI FISIOKINE,RIA,Campania
L`OASI -RES DI RIAB.MOTORIA,RIA,Campania
LA  RINASCITA,RIA,Campania
LA PINETINA G.A.F.,RIA,Campania
LINEA MEDICA SRL,RIA,Campania
Madre Claudia soc coop a r.l,RIA,Campania
ME.DI.CA. SUD SRL,RIA,Campania
MEDH CENTER SRL,RIA,Campania
MEDICAL CENTER S.R.L.,RIA,Campania
MEDICAL R. S.R.L.,RIA,Campania
NEAPOLISANIT  S.R.L.,RIA,Campania
Nuovo Centro FKT srl,RIA,Campania
OPERA GIOVANILE JUVENTUS,RIA,Campania
ORTOKINESIS,RIA,Campania
PICCOLO COTTOLENGO DON ORIONE,RIA,Campania
PRES  RIAB DIOCLEZIANO SRL,RIA,Campania
PROV.REL. SS.AP.PIETRO E PAOLO,RIA,Campania
PUNTO VACCINALE CETARA -DS63,STS,Campania
PUNTO VACCINALE OLIVETO CITRA-DS64,STS,Campania
PUNTO VACCINALE-CAGGIANO-DS72,STS,Campania
RELAX S.P.A.,RIA,Campania
RIABILITAZIONE POMPEIANA,RIA,Campania
SALUS   S.R.L.,RIA,Campania
SANATRIX NUOVO ELAION,RIA,Campania
SERAPIDE - MONTE DI PROCIDA,RIA,Campania
SERAPIDE - MUGNANO,RIA,Campania
SERAPIDE - POZZUOLI,RIA,Campania
SERVIZI SANITARI SRL,RIA,Campania
SILBA SPA- VILLA SILVIA,RIA,Campania
SILBA SPA-VILLA ALBA,RIA,Campania
SILENZIOSI OPERAI DELLA CROCE,RIA,Campania
SO.GE.SA.SRL,RIA,Campania
STUD POLID PERSICO PRIMI SRL,RIA,Campania
STUDIO CIEFFEMME,RIA,Campania
STUDIO TER.FIS. CDT G.DE MASI,RIA,Campania
TEOREO,RIA,Campania
THERAPIC CENTER SRL,RIA,Campania
VILLA DEI CEDRI S.R.L.,RIA,Campania
VILLA DEI FIORI,RIA,Campania
VILLA DEI FIORI EX GIEFFE SRL,RIA,Campania
VILLA DELLE GINESTRE  S.R.L.,RIA,Campania
AMB. VACC. COVID CALDERARA DI RENO VIA ARMAROLI (HUB AZ. BONFIGLIOLI),STS,Emilia-Romagna
AMB. VACCINALE AUSL BOLOGNA C/O IOR BOLOGNA,STS,Emilia-Romagna
AMB. VACCINALE COVID ANZOLA VIA F. SANTI (HUB LE NOTTI DI CABIRIA),STS,Emilia-Romagna
AMB. VACCINALE COVID ARGELATO VIA CENTESE,STS,Emilia-Romagna
AMB. VACCINALE COVID BOLOGNA (UNIBO) VIA SAN DONATO,STS,Emilia-Romagna
AMB. VACCINALE COVID BOLOGNA AUTOSTAZIONE PIAZZA XX SETTEMBRE,STS,Emilia-Romagna
AMB. VACCINALE COVID BOLOGNA RONCATI VIA S ISAIA,STS,Emilia-Romagna
AMB. VACCINALE COVID BUDRIO LA MAGNOLIA VIA BIANCHI,STS,Emilia-Romagna
AMB. VACCINALE COVID BUDRIO PIAZZALE GIOVENTU',STS,Emilia-Romagna
AMB. VACCINALE COVID CALDERARA DI R. VIA GARIBALDI,STS,Emilia-Romagna
AMB. VACCINALE COVID CAMUGNANO PIAZZA KENNEDY,STS,Emilia-Romagna
AMB. VACCINALE COVID CASALECCHIO DI RENO VIA GINO CERVI,STS,Emilia-Romagna
AMB. VACCINALE COVID CASALECCHIO PARCO RODARI,STS,Emilia-Romagna
AMB. VACCINALE COVID CASALECCHIO VIA PORRETTANA,STS,Emilia-Romagna
AMB. VACCINALE COVID CASTEL D'AIANO SEDE CRI VIA VAL D'ANEVA,STS,Emilia-Romagna
AMB. VACCINALE COVID CASTEL DI CASIO VIA TORRE NUOVA,STS,Emilia-Romagna
AMB. VACCINALE COVID CASTEL MAGGIORE SALA PP PASOLINI PIAZZA AMENDOLA,STS,Emilia-Romagna
AMB. VACCINALE COVID CASTELLO D'ARGILE VIA DEL MINCIO,STS,Emilia-Romagna
AMB. VACCINALE COVID CASTENASO CS AIRONE VIA MARCONI,STS,Emilia-Romagna
AMB. VACCINALE COVID CASTIGLIONE DEI PEPOLI PIAZZA MERCATO,STS,Emilia-Romagna
AMB. VACCINALE COVID CREVALCORE VIALE ITALIA,STS,Emilia-Romagna
AMB. VACCINALE COVID GAGGIO MONTANO SEDE CRI VIA CAVALIERI DI V. VENETO,STS,Emilia-Romagna
AMB. VACCINALE COVID GAGGIO MONTANO VIA GIOVANNI XXIII,STS,Emilia-Romagna
AMB. VACCINALE COVID GALLIERA VIA DELLA PACE,STS,Emilia-Romagna
AMB. VACCINALE COVID GRIZZANA M. LOC. LE CASILINE,STS,Emilia-Romagna
AMB. VACCINALE COVID LIZZANO IN B. SEDE CRI VIA AZZALI,STS,Emilia-Romagna
AMB. VACCINALE COVID MINERBIO VIA ROMA,STS,Emilia-Romagna
AMB. VACCINALE COVID MONTE S PIETRO VIA GULLINI,STS,Emilia-Romagna
AMB. VACCINALE COVID MONZUNO EX SCUOLE VIA VAL DI SAMBRO,STS,Emilia-Romagna
AMB. VACCINALE COVID PIANORO VIA RESISTENZA,STS,Emilia-Romagna
AMB. VACCINALE COVID S AGATA B. VIA SIBIRANI,STS,Emilia-Romagna
AMB. VACCINALE COVID S BENEDETTO VAL DI SAMBRO VIA RESISTENZA,STS,Emilia-Romagna
AMB. VACCINALE COVID S GIOVANNI IN P. VIA NEWTON,STS,Emilia-Romagna
AMB. VACCINALE COVID S. GIORGIO DI P. VIA PIROTTI,STS,Emilia-Romagna
AMB. VACCINALE COVID SALA BOLOGNESE PADULLE VIA MARCONI,STS,Emilia-Romagna
AMB. VACCINALE COVID SAN LAZZARO DI S. VIA DELLA REPUBBLICA,STS,Emilia-Romagna
AMB. VACCINALE COVID SASSO MARCONI VIA BERTACCHI,STS,Emilia-Romagna
AMB. VACCINALE COVID SG IN PERSICETO SM DELLA DECIMA VIA CENTO,STS,Emilia-Romagna
AMB. VACCINALE COVID SL DI SAVENA OFFICINE VIA EMILIA 253,STS,Emilia-Romagna
AMB. VACCINALE COVID SP IN CASALE VIA CONTA,STS,Emilia-Romagna
AMB. VACCINALE COVID SP IN CASALE VIA GALLIERA,STS,Emilia-Romagna
AMB. VACCINALE COVID TOLE' VIA BASABUE,STS,Emilia-Romagna
AMB. VACCINALE COVID VADO VIA CRISALIDI,STS,Emilia-Romagna
AMB. VACCINALE COVID VALSAMOGGIA VIALE MARTIRI,STS,Emilia-Romagna
AMB. VACCINALE FIERA DI BOLOGNA PADIGLIONE POLIVALENTE,STS,Emilia-Romagna
CENTRO VACCINALE COVID CMP,STS,Emilia-Romagna
CENTRO VACCINALE COVID ESP,STS,Emilia-Romagna
CENTRO VACCINALE DI BOMPORTO,STS,Emilia-Romagna
CENTRO VACCINALE DI CARPI,STS,Emilia-Romagna
CENTRO VACCINALE DI CASTELFRANCO EMILIA PRESSO PALASPORT,STS,Emilia-Romagna
CENTRO VACCINALE DI FANANO,STS,Emilia-Romagna
