Address,Name,CAP,City,Region Code,Region,Latitude,Longitude,ID
"Piazza Vittorio Veneto, 11,FARMACIA OPERTI del Dott. RIVA Sergio,10124,TORINO,10,PIEMONTE,""45,003342205568"",""7,60284957264712""",,,,,,,,OOS895
"Piazza C. Felice, 63,CARLO FELICE,10123,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,XXS754
"Corso Vittorio Emanuele II, 84,DEL MONUMENTO,10121,TORINO,10,PIEMONTE,""45,0600441248405"",""7,68636936789709""",,,,,,,,KTR227
"Corso Vittorio Emanuele II, 84,MONUMENTO,10121,TORINO,10,PIEMONTE,""45,0600441248405"",""7,68636936789709""",,,,,,,,WJY947
"Via delle Orfane, 25,DELLA CONSOLATA,10122,TORINO,10,PIEMONTE,""45,0755970708276"",""7,67936230208308""",,,,,,,,HJU185
"Via Delle Orfane, 25,Della Consolata,10122,TORINO,10,PIEMONTE,""45,0755970708276"",""7,67936230208308""",,,,,,,,FNS847
"Via XX Settembre, 87,REGIA FARMACIA XX SETTEMBRE,10122,TORINO,10,PIEMONTE,""45,0692336846927"",""7,68187909649041""",,,,,,,,WCK459
"Via XX Settembre, 87,REGIA FARMACIA XX SETTEMBRE SAS DI TEALDI MARIA FRANCA,10122,TORINO,10,PIEMONTE,""45,0692336846927"",""7,68187909649041""",,,,,,,,DPD809
"Via Xx Settembre, 87,Regia Farmacia Di Monchiero Luca & C. S.a.s.,10100,TORINO,10,PIEMONTE,""45,0692336846927"",""7,68187909649041""",,,,,,,,NIQ401
"Via XX Settembre, 87,REGIA FARMACIA XX SETTEMBRE DI TEALDI M.FRANCA E BERARDI LUCA snc,10122,TORINO,10,PIEMONTE,""45,0692336846927"",""7,68187909649041""",,,,,,,,PEM631
"Corso Vinzaglio, 31/E,MONTANARO DI GUERRINI DOTT. GIULIA,10121,TORINO,10,PIEMONTE,""45,0681742273819"",""7,66685123166935""",,,,,,,,KDV840
"Corso Vinzaglio, 31/e,Farmacia Montanaro Della Dr.ssa Platter Francesca E C. S.n.c.,10121,TORINO,10,PIEMONTE,""45,0681742273819"",""7,66685123166935""",,,,,,,,TFC431
"Corso Vittorio Emanuele II, 66,BONISCONTRO,10121,TORINO,10,PIEMONTE,""45,0600441248405"",""7,68636936789709""",,,,,,,,BLZ801
"Via Po, 14,UNIVERSITA' GIORDA,10124,TORINO,10,PIEMONTE,""45,0647868152497"",""7,69541631702841""",,,,,,,,IPT214
"Via Po, 14,UNIVERSITA',10124,TORINO,10,PIEMONTE,""45,0647868152497"",""7,69541631702841""",,,,,,,,HSZ663
"Via Po, 31/B,DEGLI STEMMI DI MARANZANA DOTT.SSA CLAUDIA,10124,TORINO,10,PIEMONTE,""45,0647868152497"",""7,69541631702841""",,,,,,,,SDB280
"Via Po, 31/B,DEGLI STEMMI,10124,TORINO,10,PIEMONTE,""45,0647868152497"",""7,69541631702841""",,,,,,,,VTS339
"Via Cernaia, 24,SANTA BARBARA,10122,TORINO,10,PIEMONTE,""45,0707584154146"",""7,67614813764086""",,,,,,,,QTK846
"Galleria Umberto I, 54,ORDINE MAURIZIANO SAS DELLA DOTT.SSA CARBONCINI ALESSANDRA & C.,10122,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,AFN981
"Galleria Umberto I, 54,MAURIZIANA DI GSG DI IELO STEFANIA E C.,10122,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,PEJ199
"Via piazza della repubblica, 6/b,Farmacia Ordine Mauriziano snc del dottor Emanuele Platter & C.,10122,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,XPO559
"Galleria Umberto I, 54,ORDINE MAURIZIANO SAS DEL DR. ENRICO POLLEDRO & C.,10122,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,ZCA765
"Galleria Umberto I, 54,Farmacia Ordine Mauriziano snc del dottor Emanuele Platter & C.,10122,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,XKB804
"Via Cernaia, 14,PENSA,10122,TORINO,10,PIEMONTE,""45,0707584154146"",""7,67614813764086""",,,,,,,,UEE860
"Via Roma, 24,CENTRALE DI IMPRESA SAS DELLA DR.SSA BRUZZONE PATRIZIA E C.,10121,TORINO,10,PIEMONTE,""44,930433244759"",""7,53106340038547""",,,,,,,,KYL723
"Via Roma, 24,FARMACIA VECCO VIA ROMA DI FARMACIA VECCO SNC,10121,TORINO,10,PIEMONTE,""44,930433244759"",""7,53106340038547""",,,,,,,,EGV526
"Via Roma, 24,IMPRESA SAS DELLA DR.SSA BRUZZONE PATRIZIA E C.,10121,TORINO,10,PIEMONTE,""44,930433244759"",""7,53106340038547""",,,,,,,,WWS174
"Via Roma, 24,CENTRALE SANTOMARTINO ANTONIO,10121,TORINO,10,PIEMONTE,""44,930433244759"",""7,53106340038547""",,,,,,,,VYF660
"Via dei Mille, 48,DELLA ROCCA,10123,TORINO,10,PIEMONTE,""45,0607553603755"",""7,6924350538519""",,,,,,,,FMN878
"Via Giovanni Giolitti, 2,SAN CARLO,10123,TORINO,10,PIEMONTE,""45,0641990591578"",""7,58182651903797""",,,,,,,,DMP180
"Via Maria Vittoria, 3,REGIA FARMACIA MASINO,10123,TORINO,10,PIEMONTE,""45,0673862297507"",""7,68576945156105""",,,,,,,,HBY753
"Via Giuseppe Garibaldi, 26,BOSIO,10122,TORINO,10,PIEMONTE,""44,820621919015"",""7,22191658154474""",,,,,,,,WMA632
"Via Giuseppe Garibaldi, 26,ANTICA FARMACIA BOSIO DI SPIRITO DR.SSA GIOVANNA,10122,TORINO,10,PIEMONTE,""44,820621919015"",""7,22191658154474""",,,,,,,,CWY993
"Corso Vittorio Emanuele II, 34,TONENGO SNC DI SANCIN SARA E CARACRISTI PAOLA,10125,TORINO,10,PIEMONTE,""45,0600441248405"",""7,68636936789709""",,,,,,,,PTT378
"Corso Vittorio Emanuele II, 34,ANEDDA DI CARACRISTI DR.SSA PAOLA,10123,TORINO,10,PIEMONTE,""45,0600441248405"",""7,68636936789709""",,,,,,,,BYD432
"Via Milano, 11,ANGLESIO,10122,TORINO,10,PIEMONTE,""45,146923847213"",""7,78412290763879""",,,,,,,,WQP953
"Via Giovanni Giolitti, 7/C,MADONNA DEGLI ANGELI,10123,TORINO,10,PIEMONTE,""45,0641990591578"",""7,58182651903797""",,,,,,,,RHA309
"Via Giovanni Giolitti, 7/C,MADONNA DEGLI ANGELI DI BOBBA PAOLA & C. SAS,10123,TORINO,10,PIEMONTE,""45,0641990591578"",""7,58182651903797""",,,,,,,,GRT779
"Via Giovanni Giolitti, 7/C,MADONNA DEGLI ANGELI DI BOBBA PAOLA,10123,TORINO,10,PIEMONTE,""45,0641990591578"",""7,58182651903797""",,,,,,,,IJQ671
"Via S. Teresa, 21,SOLFERINO,10121,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,BUP386
"Via S. Teresa, 21,SOLFERINO SNC DELLA DOTT.SSA RICOTTI ANNA E C.,10121,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,IJK563
"Via XX Settembre, 5,COMUNALE 42 - AFC,10121,TORINO,10,PIEMONTE,""45,0692336846927"",""7,68187909649041""",,,,,,,,JJM908
"Via XX Settembre, 5,FARMACIE COMUNALI TORINO S.p.A. FC N. 42 -,10121,TORINO,10,PIEMONTE,""45,0692336846927"",""7,68187909649041""",,,,,,,,KHP817
"Via XX Settembre, 5,COMUNALE 42,10121,TORINO,10,PIEMONTE,""45,0692336846927"",""7,68187909649041""",,,,,,,,CTY494
"Piazza Statuto, 4,FARMACIE COMUNALI TORINO S.p.A. FC N. 43 -,10122,TORINO,10,PIEMONTE,""45,076693316502"",""7,66903548103441""",,,,,,,,LRK749
"Piazza Statuto, 4,COMUNALE 43 - AFC,10122,TORINO,10,PIEMONTE,""45,076693316502"",""7,66903548103441""",,,,,,,,QRM739
"Piazza Statuto, 4,COMUNALE 43,10122,TORINO,10,PIEMONTE,""45,076693316502"",""7,66903548103441""",,,,,,,,ICX989
"Via Po, 4,PO,10123,TORINO,10,PIEMONTE,""45,0647868152497"",""7,69541631702841""",,,,,,,,SGI782
"Via Bellini, 8,MAMONE,10121,TORINO,10,PIEMONTE,""45,0270196974625"",""7,51279685184017""",,,,,,,,FQV959
"Via Bellini, 8,MAMONE SAS DELLA DOTT.SSA MAMONE LUCIANA E C.,10121,TORINO,10,PIEMONTE,""45,0270196974625"",""7,51279685184017""",,,,,,,,QDI312
"Piazza Statuto, 3,ALMASIO SNC DEI DOTT.RI CHIASSA PAOLA E QUAINI FRANCESCO,10122,TORINO,10,PIEMONTE,""45,076693316502"",""7,66903548103441""",,,,,,,,DKH635
"Piazza Statuto, 3,ALMASIO SNC DEI DOTT.RI CHIASSA G. E LEONE L.,10122,TORINO,10,PIEMONTE,""45,076693316502"",""7,66903548103441""",,,,,,,,KDI131
"Via Giuseppe Mazzini, 31,EUROPEA DR.I AUDIBERTI EMANUELA E CAMILLI MELETANI MICHELANGELO SNC,10123,TORINO,10,PIEMONTE,""45,0768757"",""6,69700785""",,,,,,,,KUN440
"Via Giuseppe Mazzini, 40,EUROPEA DELLA DR.SSA AUDIBERTI EMANUELA,10123,TORINO,10,PIEMONTE,""45,0768757"",""6,69700785""",,,,,,,,QLW115
"Via Giuseppe Mazzini, 40,EUROPEA DR.I AUDIBERTI EMANUELA E CAMILLI MELETANI MICHELANGELO SNC,10123,TORINO,10,PIEMONTE,""45,0768757"",""6,69700785""",,,,,,,,AZH434
"Via Po, 51,BERTA,10124,TORINO,10,PIEMONTE,""45,0647868152497"",""7,69541631702841""",,,,,,,,IDL884
"Via Po, 51,BERTA DI COLLEGIATA SNC DEI DR.I FEDERICA BIANCHI E GAIA BAGNASACCO,10124,TORINO,10,PIEMONTE,""45,0647868152497"",""7,69541631702841""",,,,,,,,QWJ283
"Via San Tommaso, 2/A,SAN SIMONE DEL DOTT. PEDULLA' MAURO,10122,TORINO,10,PIEMONTE,""45,0695426012509"",""7,68079016350882""",,,,,,,,ZBK549
"Via S. Tommaso, 2,SAN SIMONE,10125,TORINO,10,PIEMONTE,""45,0695426012509"",""7,68079016350882""",,,,,,,,WWQ201
"Via S. Tommaso, 2,SAN SIMONE,10122,TORINO,10,PIEMONTE,""45,0695426012509"",""7,68079016350882""",,,,,,,,FWI464
"Via San Tommaso, 16,GRUNER S.A.S. DEL DR. TIMEUS MARCO & C.,10121,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,YMR650
"Via Nizza, 15,BARGIS,10125,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,RHZ815
"Via Nizza, 15,I PORTICI DI A.L.M. SAS DEL DR. LORENZETTI PAOLO E C.,10125,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,WZU749
"Piazza Madama Cristina, 14,SAN SALVARIO DELLA DOTT.SSA BOGLIETTI PIERA E C.,10125,TORINO,10,PIEMONTE,""45,0587092250988"",""7,68359135500964""",,,,,,,,DYW966
"Via Madama Cristina, 14,SAN SALVARIO DELLA DOTT.SSA BOGLIETTI PIERA E C.,10125,TORINO,10,PIEMONTE,""45,0587092250988"",""7,68359135500964""",,,,,,,,DJZ580
"Via Madama Cristina, 78,SANTA MATILDE DI RICHIARDI DR.SSA CRISTINA,10126,TORINO,10,PIEMONTE,""45,0523749031816"",""7,67913285582087""",,,,,,,,BLM448
"Via Madama Cristina, 78,SESIA,10126,TORINO,10,PIEMONTE,""45,0523749031816"",""7,67913285582087""",,,,,,,,TND450
"Corso Vittorio Emanuele II, 58,COMUNALE 25,10125,TORINO,10,PIEMONTE,""45,062683"",""7,67896""",,,,,,,,TCA590
"c/o FF. SS. - Porta Nuova,FARMACIE COMUNALI TORINO S.p.A. FC N. 25 -,10125,TORINO,10,PIEMONTE,""45,062683"",""7,67896""",,,,,,,,FVL492
"c/o FF. SS. - Porta Nuova,COMUNALE 25 - AFC,10125,TORINO,10,PIEMONTE,""45,062683"",""7,67896""",,,,,,,,LPI474
"Via Nizza, 108,GANI SNC DI GANI GRAZIA E DALLOSTA ROBERTO,10126,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,KQR965
"Via Nizza, 115,SACRO CUORE,10126,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,QVD194
"Via Nizza, 115,SACRO CUORE SNC DEI DOTT.RI FERRATO ADOLFO E CRAVINI STEFANIA MARIA,10126,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,RHT868
"Via Nizza, 65,NIZZA,10125,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,PFI449
"Corso Massimo D`Azeglio, 100,TORINO ESPOSIZIONI DI ALBERTINI DOTT.SSA F. E ROBBA DOTT.SSA M. SNC,10126,TORINO,10,PIEMONTE,""45,0493453520191"",""7,68071955307557""",,,,,,,,AYJ761
"Corso Massimo D'Azeglio, 100,FARMACIA TORINO ESPOSIZIONI SNC,10126,TORINO,10,PIEMONTE,""45,0493453520191"",""7,68071955307557""",,,,,,,,SRB527
"Via Saluzzo, 1,DEL CORSO,10125,TORINO,10,PIEMONTE,""44,87723385"",""7,3326621""",,,,,,,,THQ587
"Corso Vittorio Emanuele II, 4,DEL CORSO DELLA DOTT.SSA BARAKE KAREN,10125,TORINO,10,PIEMONTE,""44,87723385"",""7,3326621""",,,,,,,,PBL749
"Via Saluzzo, 1,DEL CORSO DELLA DOTT.SSA BARAKE KAREN,10125,TORINO,10,PIEMONTE,""44,87723385"",""7,3326621""",,,,,,,,HVX291
"Via Nizza, 27,SAN SALVATORE,10125,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,FMY890
"Corso Dante, 78,DANTE,10126,TORINO,10,PIEMONTE,""45,0477524744755"",""7,67086837625355""",,,,,,,,CWV710
"Via Madama Cristina, 62,BORGARELLI DEI DOTT.RI G. E P. BORGARELLI SNC,10125,TORINO,10,PIEMONTE,""45,0523749031816"",""7,67913285582087""",,,,,,,,LBH296
"Via Claudio Luigi Berthollet, 10,CAVALLO SNC DEI DR.I GUZZINATI MAURO E CAVALLO SILVIA,10125,TORINO,10,PIEMONTE,""45,0586002563752"",""7,68242703100911""",,,,,,,,JDB844
"Via Claudio Luigi Berthollet, 10,CAVALLO,10125,TORINO,10,PIEMONTE,""45,0586002563752"",""7,68242703100911""",,,,,,,,VVX685
"Via Madama Cristina, 37,PORTIS,10125,TORINO,10,PIEMONTE,""45,0523749031816"",""7,67913285582087""",,,,,,,,YIQ226
"Corso Filippo Turati, 38/c,MAURIZIANA DI GSG DI IELO STEFANIA E C.,10128,TORINO,10,PIEMONTE,""45,0528170351046"",""7,66968094120049""",,,,,,,,WFR789
"Corso Filippo Turati, 46,FONDAZIONE ORDINE MAURIZIANO,10128,TORINO,10,PIEMONTE,""45,0528170351046"",""7,66968094120049""",,,,,,,,JCN586
"Corso Filippo Turati, 46,MAURIZIANA DI GSG DI IELO STEFANIA E C.,10128,TORINO,10,PIEMONTE,""45,0528170351046"",""7,66968094120049""",,,,,,,,NKQ686
"Corso Alcide De Gasperi, 6,FARMACIA BORGO CROCETTA S.R.L.,10129,TORINO,10,PIEMONTE,""45,0558554224589"",""7,65983713178448""",,,,,,,,NGI526
"Corso Alcide De Gasperi, 6,BORGO CROCETTA,10129,TORINO,10,PIEMONTE,""45,0558554224589"",""7,65983713178448""",,,,,,,,GSC411
"Via Paolo Sacchi, 46,PICCO TAVANO,10128,TORINO,10,PIEMONTE,""45,0629788237278"",""7,67760957745872""",,,,,,,,XZR177
"Corso Vittorio Emanuele, 121,SANT'ANTONIO,10128,TORINO,10,PIEMONTE,""45,0353435421363"",""7,87513326575747""",,,,,,,,TSW891
"Corso Alcide De Gasperi, 69,MARIA CRISTINA SAS DEL DR. PAUTASSO RENATO E C,10129,TORINO,10,PIEMONTE,""45,0558554224589"",""7,65983713178448""",,,,,,,,OHD868
"Corso Alcide De Gasperi, 69,MARIA CRISTINA,10129,TORINO,10,PIEMONTE,""45,0558554224589"",""7,65983713178448""",,,,,,,,VZZ494
"Corso Germano Sommelier, 31,""SANT'ANNA SNC DI FERRATO ADOLFO, BECUCCI ALESSANDRA E FERRATO PAOLA"",10128,TORINO,10,PIEMONTE,""45,0564781"",""7,6697114""",,,,,,,,XSX474
"Corso Stati Uniti, 5,FARMACIA LEVA DI FORMIGLIA MAURO &amp; C. S.N.C.,10128,TORINO,10,PIEMONTE,""45,0653156005477"",""7,66360478243208""",,,,,,,,KRY764
"Corso Stati Uniti, 5,LEVA SNC DI CALLIERO PAOLO E FORMIGLIA MAURO,10128,TORINO,10,PIEMONTE,""45,0653156005477"",""7,66360478243208""",,,,,,,,IGW551
"Corso Stati Uniti, 5,LEVA,10128,TORINO,10,PIEMONTE,""45,0653156005477"",""7,66360478243208""",,,,,,,,AGI132
"Corso Duca degli Abruzzi, 66,DANIELE,10129,TORINO,10,PIEMONTE,""45,0565606977491"",""7,65866071520534""",,,,,,,,RBL148
"Via San Secondo, 9,SAN SECONDO,10128,TORINO,10,PIEMONTE,""45,1606312797084"",""7,49433400791429""",,,,,,,,PCE288
"Corso Re Umberto, 38,RE UMBERTO SNC DELLE DOTT.SSE PAGLIERO P. E ROSA M. V.,10128,TORINO,10,PIEMONTE,""45,0624034255194"",""7,67221379367731""",,,,,,,,XIE504
"Viale C.COLOMBO, 67,FARMACIA SPATOCCO DI G.SPATOCCO & C. SNC,64100,TERAMO,130,ABRUZZO,""45,0624034255194"",""7,67221379367731""",,,,,,,,LSV973
"Largo Umberto 114/A,GALILEO FARMABIVI SNC DI BIGLIANI L. E VICO M.,10128,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,XQX774
"Via Fratelli Carle, 5,GALILEO FARMABIVI SNC DI BIGLIANI L. E VICO M.,10128,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,FGG470
"Via Paolo Sacchi, 4,PORTA NUOVA,10128,TORINO,10,PIEMONTE,""45,0629788237278"",""7,67760957745872""",,,,,,,,GOC247
"Via San Secondo, 46,DEL LEONE,10128,TORINO,10,PIEMONTE,""45,1606312797084"",""7,49433400791429""",,,,,,,,ASN526
"Via Cristoforo Colombo, 42,MAGNO FRANCONE ROBERTA,10129,TORINO,10,PIEMONTE,""45,0691175394702"",""7,58458481682612""",,,,,,,,TDQ591
"Via Nizza, 183,DELLE MOLINETTE,10126,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,JBM727
"Via Nizza, 354,LINGOTTOFARMA S.A.S. DEL DOTT. COCIRIO DAVIDE E C.,10127,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,JWL473
"Via Nizza, 354,LINGOTTO COCIRIO DAVIDE,10127,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,VZE807
"Via Genova, 89/H,SANTA GEMMA,10126,TORINO,10,PIEMONTE,""45,0028040373878"",""7,54189669814742""",,,,,,,,FHO742
"Via Genova, 89/H,SANTA GEMMA DI FARMAPIU' TORINO SAS DELLA DR.SSA CALATRONI DANIELA,10126,TORINO,10,PIEMONTE,""45,0028040373878"",""7,54189669814742""",,,,,,,,BML679
"Piazza Camillo Bozzolo, 11,FARMACIE COMUNALI TORINO S.p.A. FC N. 46,10126,TORINO,10,PIEMONTE,""45,03738245"",""7,67126065""",,,,,,,,LRX485
"Piazza Camillo Bozzolo, 11,COMUNALE 46 AFC,10126,TORINO,10,PIEMONTE,""45,03738245"",""7,67126065""",,,,,,,,TKR409
"Piazza Camillo Bozzolo, 11,COMUNALE 46,10126,TORINO,10,PIEMONTE,""45,03738245"",""7,67126065""",,,,,,,,ABD303
"Via Genova, 122,SAN GIACOMO,10126,TORINO,10,PIEMONTE,""45,0264607173415"",""7,44171859234046""",,,,,,,,AMS471
"Via Genova, 122,SAN GIACOMO SAS DEL DR. BONINO FILIPPO E C.,10126,TORINO,10,PIEMONTE,""45,0264607173415"",""7,44171859234046""",,,,,,,,GRA947
"Via Nizza 249,Farmacia Millefonti S.n.c.,10126,TORINO,10,PIEMONTE,""45,0028040373878"",""7,54189669814742""",,,,,,,,GDB860
"Via Genova, 64,MILLEFONTI,10126,TORINO,10,PIEMONTE,""45,0028040373878"",""7,54189669814742""",,,,,,,,ASJ311
"Via Nizza, 214,Farmacia TORINO SPEZIA,10126,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,APH112
"Via Nizza, 214,TETTI FRE',10126,TORINO,10,PIEMONTE,""45,0180473402824"",""7,66173175625908""",,,,,,,,AMU424
"Via Genova, 179/F,SAN DARIO,10127,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,RRX750
"Corso Maroncelli, 28,SANTA ROSALIA,10127,TORINO,10,PIEMONTE,""45,0197463279276"",""7,65661162206755""",,,,,,,,CED502
"Corso Traiano, 22/E,COMUNALE 8,10135,TORINO,10,PIEMONTE,""45,0234154164996"",""7,64605606129843""",,,,,,,,WRC951
"Corso Traiano, 22/E,COMUNALE 8 - AFC,10135,TORINO,10,PIEMONTE,""45,0234154164996"",""7,64605606129843""",,,,,,,,IEU413
"Corso Traiano, 22/E,FARMACIE COMUNALI TORINO S.p.A. FC N. 8 -,10135,TORINO,10,PIEMONTE,""45,0234154164996"",""7,64605606129843""",,,,,,,,XLK491
"Corso Traiano, 86,COMUNALE 15 - AFC,10135,TORINO,10,PIEMONTE,""45,0234154164996"",""7,64605606129843""",,,,,,,,QQE232
"Corso Traiano, 86,COMUNALE 15,10135,TORINO,10,PIEMONTE,""45,0234154164996"",""7,64605606129843""",,,,,,,,IFE997
"Corso Traiano, 86,FARMACIE COMUNALI TORINO S.p.A. FC N. 15 -,10135,TORINO,10,PIEMONTE,""45,0234154164996"",""7,64605606129843""",,,,,,,,RMK779
"Corso Corsica, 9,FARMACIE COMUNALI TORINO S.p.A. FC N. 28 -,10134,TORINO,10,PIEMONTE,""45,03098655"",""7,65184905""",,,,,,,,ZQQ438
"Corso Corsica, 9,COMUNALE 28,10134,TORINO,10,PIEMONTE,""45,03098655"",""7,65184905""",,,,,,,,RIZ609
"Corso Corsica, 9,COMUNALE 28 - AFC,10134,TORINO,10,PIEMONTE,""45,03098655"",""7,65184905""",,,,,,,,EXS602
"Via Pio VII, 164/c,SAN CAMILLO Paglia Carlo,10127,TORINO,10,PIEMONTE,""45,0181037"",""7,6483492""",,,,,,,,AMK321
"Via Pio VII, 164/c,MDR S.N.C. DI MANENTI A. E ARIETTI V.,10127,TORINO,10,PIEMONTE,""45,0181037"",""7,6483492""",,,,,,,,FPE120
"Via Pio VII, 164,Farmacia San Camillo di MDR SRL,10127,TORINO,10,PIEMONTE,""45,0181037"",""7,6483492""",,,,,,,,MFE281
"Via Passo Buole, 59/H,GHEZZO,10127,TORINO,10,PIEMONTE,""45,0234245786123"",""7,65670043956929""",,,,,,,,KJE178
"Corso Traiano, 73,BAGGIO ROBA,10135,TORINO,10,PIEMONTE,""45,0234154164996"",""7,64605606129843""",,,,,,,,WGB791
"Corso Unione Sovietica, 85,GUALDI,10134,TORINO,10,PIEMONTE,""45,017106191791"",""7,62872698029852""",,,,,,,,EBU278
"Corso Unione Sovietica, 85,Farmacia Bramante di MDR SRL,10134,TORINO,10,PIEMONTE,""45,017106191791"",""7,62872698029852""",,,,,,,,WVC760
"Corso Unione Sovietica, 397,STEFFANONE,10135,TORINO,10,PIEMONTE,""45,017106191791"",""7,62872698029852""",,,,,,,,CBS455
"Piazza Tancredi Galimberti, 7,MDR S.N.C. DI MANENTI A. E ARIETTI V.,10134,TORINO,10,PIEMONTE,""45,0339286"",""7,653858""",,,,,,,,DNL371
"Piazza Tancredi Galimberti, 7,Farmacia Madonna delle rose di MDR SRL,10134,TORINO,10,PIEMONTE,""45,0339286"",""7,653858""",,,,,,,,EXX961
"Piazza Tancredi Galimberti, 7,MADONNA DELLE ROSE,10134,TORINO,10,PIEMONTE,""45,0339286"",""7,653858""",,,,,,,,TQS977
"Corso Eusebio Giambone, 19,MONVISO,10134,TORINO,10,PIEMONTE,""45,0709201"",""7,6859719""",,,,,,,,WKO640
"Via Tunisi, 99,GAY,10134,TORINO,10,PIEMONTE,""45,0373613969954"",""7,65588346041373""",,,,,,,,HDN673
"Corso Traiano, 158,MONARI SNC DI FRANCESCA E MARIA GIOVANNA MONARI,10127,TORINO,10,PIEMONTE,""45,0234154164996"",""7,64605606129843""",,,,,,,,LSA380
"Corso Traiano, 158,MONARI DI MONARI DOTT. R. & C. SNC,10127,TORINO,10,PIEMONTE,""45,0234154164996"",""7,64605606129843""",,,,,,,,QHR330
"Via Tunisi, 51,GUSSONI,10134,TORINO,10,PIEMONTE,""45,0373613969954"",""7,65588346041373""",,,,,,,,ERE204
"Via Tunisi, 51,FARMACIA SAN MARTINO dottori GENNERO,10134,TORINO,10,PIEMONTE,""45,0373613969954"",""7,65588346041373""",,,,,,,,SGB205
"Via Passo Buole, 160/A,GUARINO,10135,TORINO,10,PIEMONTE,""45,0234245786123"",""7,65670043956929""",,,,,,,,VKG952
"Via ARNALDO DA BRESCIA, 25,FARMACIA SANT'ERALDO SRL,10134,TORINO,10,PIEMONTE,""45,0359659524366"",""7,65165326639563""",,,,,,,,JHC873
"Via Arnaldo Da Brescia, 25,SANT'ERALDO SNC DI MIGLIARI CRISTINA E SAVIO MATTIA,10134,TORINO,10,PIEMONTE,""45,0359659524366"",""7,65165326639563""",,,,,,,,PIG453
"Via Arnaldo Da Brescia, 25,SANT'ERALDO,10134,TORINO,10,PIEMONTE,""45,0359659524366"",""7,65165326639563""",,,,,,,,ESY507
